,epoch,Train_accuracy_org
0,1,39.472
1,2,45.098
2,3,52.168000000000006
3,4,55.45
4,5,59.616
5,6,63.974
6,7,65.85600000000001
7,8,68.54400000000001
8,9,70.646
9,10,73.078
10,11,73.30799999999999
11,12,75.054
12,13,76.752
13,14,78.25999999999999
14,15,79.904
15,16,80.734
16,17,81.196
17,18,81.206
18,19,80.744
19,20,84.014
20,21,84.226
21,22,84.316
22,23,84.542
23,24,84.506
24,25,85.542
25,26,85.602
26,27,84.954
27,28,82.038
28,29,84.08200000000001
29,30,84.166
30,31,83.782
31,32,84.04599999999999
32,33,83.232
33,34,82.094
34,35,81.88
35,36,82.08800000000001
36,37,81.39800000000001
37,38,81.266
38,39,81.622
39,40,82.004
40,41,81.86
41,42,81.136
42,43,81.47999999999999
43,44,81.81
44,45,80.566
45,46,81.06
46,47,81.34599999999999
47,48,81.184
48,49,81.11
49,50,81.28800000000001
50,51,81.608
51,52,81.218
52,53,80.66
53,54,81.484
54,55,80.77600000000001
55,56,81.04
56,57,80.406
57,58,80.804
58,59,80.274
59,60,81.06
60,61,80.58
61,62,81.072
62,63,81.418
63,64,81.012
64,65,81.04599999999999
65,66,81.14
66,67,81.706
67,68,81.56
68,69,81.444
69,70,81.194
70,71,81.08800000000001
71,72,81.51
72,73,81.548
73,74,81.498
74,75,81.16600000000001
75,76,81.312
76,77,81.26400000000001
77,78,81.262
78,79,80.906
79,80,81.006
80,81,81.49
81,82,81.052
82,83,80.528
83,84,81.138
84,85,81.606
85,86,81.348
86,87,80.818
87,88,81.094
88,89,81.274
89,90,80.616
90,91,81.262
91,92,81.354
92,93,81.258
93,94,81.28
94,95,80.84
95,96,81.252
96,97,81.248
97,98,81.45599999999999
98,99,81.27799999999999
99,100,81.186
100,101,81.548
101,102,81.69800000000001
102,103,81.05799999999999
103,104,81.338
104,105,81.738
105,106,81.39
106,107,81.002
107,108,81.568
108,109,80.782
109,110,81.342
110,111,81.21000000000001
111,112,81.38
112,113,81.46799999999999
113,114,81.22
114,115,81.33200000000001
115,116,81.308
116,117,81.43
117,118,81.328
118,119,81.354
119,120,81.312
120,121,81.134
121,122,81.25
122,123,81.524
123,124,81.21000000000001
124,125,81.446
125,126,81.394
126,127,81.364
127,128,81.26400000000001
128,129,81.192
129,130,80.616
130,131,81.34
131,132,81.43
132,133,81.26400000000001
133,134,81.542
134,135,81.438
135,136,81.208
136,137,81.528
137,138,81.26400000000001
138,139,80.896
139,140,81.486
140,141,81.63
141,142,81.55
142,143,81.55799999999999
143,144,81.54400000000001
144,145,81.53
145,146,81.34400000000001
146,147,81.328
147,148,81.414
148,149,81.512
149,150,81.384
150,151,80.902
151,152,81.42200000000001
152,153,81.616
153,154,81.26400000000001
154,155,81.61
155,156,81.596
156,157,81.71199999999999
157,158,81.426
158,159,81.47
159,160,81.42
160,161,81.15599999999999
161,162,81.428
162,163,81.684
163,164,81.71000000000001
164,165,81.312
165,166,81.516
166,167,81.47999999999999
167,168,81.512
168,169,81.704
169,170,81.66600000000001
170,171,81.464
171,172,81.624
172,173,81.388
173,174,81.36
174,175,81.556
175,176,81.66600000000001
176,177,81.552
177,178,81.646
178,179,81.42200000000001
179,180,81.406
180,181,81.314
181,182,81.562
182,183,81.354
183,184,81.58800000000001
184,185,81.458
185,186,81.46
186,187,81.26400000000001
187,188,81.434
188,189,81.812
189,190,81.622
190,191,81.268
191,192,81.716
192,193,81.688
193,194,81.538
194,195,81.672
195,196,81.628
196,197,81.45
197,198,81.518
198,199,81.608
199,200,81.53399999999999
200,201,81.498
201,202,81.804
202,203,81.644
203,204,81.69800000000001
204,205,81.536
205,206,81.458
206,207,81.42
207,208,81.072
208,209,81.176
209,210,81.46600000000001
210,211,81.554
211,212,81.46600000000001
212,213,81.728
213,214,81.372
214,215,81.462
215,216,81.08800000000001
216,217,80.152
217,218,81.56400000000001
218,219,81.57
219,220,81.53
220,221,81.58800000000001
221,222,81.394
222,223,81.756
223,224,81.49
224,225,81.392
225,226,81.622
226,227,81.67
227,228,81.308
228,229,81.414
229,230,81.56400000000001
230,231,81.35
231,232,81.736
232,233,81.67999999999999
233,234,81.65599999999999
234,235,81.638
235,236,81.766
236,237,81.748
237,238,81.58
238,239,81.598
239,240,81.554
240,241,81.516
241,242,81.292
242,243,81.786
243,244,81.582
244,245,81.616
245,246,81.342
246,247,81.428
247,248,81.762
248,249,81.602
249,250,81.63
250,251,81.568
251,252,81.608
252,253,81.536
253,254,81.694
254,255,81.538
255,256,81.65599999999999
256,257,81.65400000000001
257,258,81.2
258,259,81.786
259,260,81.594
260,261,81.176
261,262,81.702
262,263,81.562
263,264,81.746
264,265,81.45599999999999
265,266,81.756
266,267,80.96
267,268,81.426
268,269,81.824
269,270,81.76
270,271,81.634
271,272,81.476
272,273,81.568
273,274,81.644
274,275,81.72
275,276,81.686
276,277,81.61
277,278,81.652
278,279,81.52199999999999
279,280,81.678
280,281,81.46
281,282,81.55799999999999
282,283,81.28800000000001
283,284,81.55
284,285,80.916
285,286,81.552
286,287,81.644
287,288,81.428
288,289,81.772
289,290,81.314
290,291,81.77
291,292,81.69800000000001
292,293,81.708
293,294,81.686
294,295,81.58999999999999
295,296,81.636
296,297,81.42200000000001
297,298,81.41000000000001
298,299,81.718
299,300,81.36
300,301,81.61
301,302,81.76400000000001
302,303,81.45599999999999
303,304,81.688
304,305,81.664
305,306,81.328
306,307,81.53399999999999
307,308,81.34
308,309,81.714
309,310,81.566
310,311,81.592
311,312,81.738
312,313,81.49
313,314,81.718
314,315,81.478
315,316,81.71199999999999
316,317,81.74
317,318,81.632
318,319,81.702
319,320,81.08999999999999
320,321,81.652
321,322,81.674
322,323,81.72399999999999
323,324,81.8
324,325,81.636
325,326,81.34599999999999
326,327,81.82000000000001
327,328,81.464
328,329,81.602
329,330,81.628
330,331,81.594
331,332,81.614
332,333,81.746
333,334,81.718
334,335,81.604
335,336,81.618
336,337,81.478
337,338,81.74
338,339,81.682
339,340,81.772
340,341,81.582
341,342,81.512
342,343,81.562
343,344,81.352
344,345,81.64200000000001
345,346,81.50800000000001
346,347,81.52000000000001
347,348,81.444
348,349,81.744
349,350,81.72399999999999
350,351,81.716
351,352,81.628
352,353,81.554
353,354,81.78800000000001
354,355,81.45599999999999
355,356,81.618
356,357,81.692
357,358,81.56
358,359,81.614
359,360,81.71199999999999
360,361,81.75
361,362,81.648
362,363,81.62
363,364,81.858
364,365,81.736
365,366,81.42
366,367,81.55799999999999
367,368,81.512
368,369,81.58800000000001
369,370,81.77799999999999
370,371,81.746
371,372,81.638
372,373,81.688
373,374,81.526
374,375,81.626
375,376,81.528
376,377,81.482
377,378,81.628
378,379,81.732
379,380,81.516
380,381,81.66
381,382,81.652
382,383,81.634
383,384,81.696
384,385,81.762
385,386,81.65
386,387,81.72
387,388,81.692
388,389,81.664
389,390,81.82199999999999
390,391,81.688
391,392,81.618
392,393,81.87
393,394,81.808
394,395,81.75200000000001
395,396,81.782
396,397,81.536
397,398,81.554
398,399,81.64200000000001
399,400,81.682
400,401,81.806
401,402,81.718
402,403,81.348
403,404,81.696
404,405,81.594
405,406,81.706
406,407,81.628
407,408,81.616
408,409,81.714
409,410,81.812
410,411,81.248
411,412,81.828
412,413,81.798
413,414,81.526
414,415,81.80199999999999
415,416,81.662
416,417,81.53200000000001
417,418,81.748
418,419,81.404
419,420,81.73
420,421,81.748
421,422,81.722
422,423,81.274
423,424,81.598
424,425,81.69800000000001
425,426,81.594
426,427,81.438
427,428,81.484
428,429,81.64200000000001
429,430,81.714
430,431,81.536
431,432,81.748
432,433,81.814
433,434,81.632
434,435,81.72399999999999
435,436,81.728
436,437,81.694
437,438,81.774
438,439,81.77600000000001
439,440,81.796
440,441,81.594
441,442,81.77799999999999
442,443,81.76
443,444,81.618
444,445,81.76400000000001
445,446,81.648
446,447,81.836
447,448,81.75
448,449,81.806
449,450,81.58999999999999
450,451,81.818
451,452,81.594
452,453,81.658
453,454,81.76400000000001
454,455,81.61
