,epoch,Train_accuracy,Test_accuracy
0,1,60.25666666666667,92.63
1,2,78.01166666666667,96.43
2,3,79.45833333333333,97.72
3,4,80.05,98.21
4,5,80.42833333333334,98.46000000000001
5,6,80.72,98.63
6,7,80.90666666666667,98.67
7,8,81.05,98.69
8,9,81.17666666666666,98.72
9,10,81.26666666666667,98.82
10,11,81.31666666666668,98.83999999999999
11,12,81.41000000000001,98.94
12,13,81.47166666666666,98.92
13,14,81.54,98.9
14,15,81.59666666666666,98.86
15,16,81.65,98.83
16,17,81.72500000000001,98.83
17,18,81.76,98.74000000000001
18,19,81.83333333333334,98.65
19,20,81.86666666666666,98.46000000000001
20,21,81.94,98.22999999999999
21,22,81.99666666666666,97.89999999999999
22,23,82.07833333333333,97.69
23,24,82.14666666666666,97.5
24,25,82.22333333333334,97.47
25,26,82.25,97.53
26,27,82.32833333333333,97.16
27,28,82.46,97.17
28,29,82.62666666666667,96.94
29,30,82.70833333333333,96.73
30,31,82.88333333333333,96.34
31,32,83.075,95.97
32,33,83.26,95.27
33,34,83.51333333333332,94.77
34,35,83.705,94.63000000000001
35,36,84.02333333333334,94.08999999999999
36,37,84.28833333333333,92.31
37,38,84.53166666666667,92.25999999999999
38,39,84.75666666666667,92.11
39,40,84.91833333333332,91.03999999999999
40,41,85.23166666666665,90.21000000000001
41,42,85.52499999999999,89.48
42,43,85.94000000000001,90.0
43,44,86.36833333333334,90.19
44,45,86.72333333333333,88.92
45,46,86.81166666666667,88.72
46,47,87.08333333333333,89.13
47,48,87.25333333333334,90.23
48,49,87.77000000000001,89.71000000000001
49,50,87.965,87.9
50,51,88.33666666666666,87.87
51,52,88.62166666666667,87.92
52,53,88.67666666666668,88.18
53,54,88.89166666666667,88.38000000000001
54,55,88.96,88.16000000000001
55,56,89.19833333333334,87.44
56,57,89.49000000000001,87.6
57,58,89.825,86.44
58,59,89.99833333333333,86.19
59,60,90.34333333333333,82.56
60,61,90.41166666666666,82.21000000000001
61,62,90.42999999999999,83.48
62,63,90.58666666666667,83.96000000000001
63,64,91.14666666666666,84.13000000000001
64,65,91.245,85.74000000000001
65,66,91.56333333333333,84.61999999999999
66,67,91.87666666666667,86.09
67,68,92.08333333333333,86.5
68,69,92.15,86.64
69,70,92.37333333333333,87.07000000000001
70,71,92.67999999999999,88.36
71,72,92.855,89.18
72,73,93.02333333333334,87.97
73,74,93.01333333333334,88.24
74,75,93.26166666666667,87.47
75,76,93.46,87.63
76,77,93.48333333333333,87.99
77,78,93.66666666666667,86.19
78,79,93.82166666666667,87.46000000000001
79,80,93.80833333333334,86.96000000000001
80,81,93.81166666666667,86.74
81,82,94.31166666666667,88.11
82,83,94.29666666666667,86.77
83,84,94.405,87.58
84,85,94.505,87.46000000000001
85,86,94.62166666666667,87.94
86,87,94.82666666666667,87.53999999999999
87,88,94.63333333333334,85.64
88,89,94.86166666666666,87.71
89,90,94.92333333333333,86.72
90,91,94.95833333333333,87.16000000000001
91,92,95.25166666666667,85.22999999999999
92,93,95.04333333333334,85.34
93,94,95.41166666666666,86.95
94,95,95.38499999999999,86.7
95,96,95.36333333333333,85.39
96,97,95.32833333333333,86.92
97,98,95.22500000000001,86.95
98,99,95.58666666666666,87.09
99,100,95.67166666666667,87.91
100,101,95.84666666666666,87.5
101,102,95.72500000000001,85.2
102,103,95.88333333333333,86.71
103,104,95.97333333333333,85.47
104,105,95.91,85.50999999999999
105,106,95.91499999999999,85.28
106,107,95.895,85.05
107,108,96.05,85.44
108,109,96.05333333333334,83.44
109,110,96.22166666666668,85.06
110,111,96.25666666666667,85.36
111,112,96.25333333333333,85.76
112,113,96.245,85.11
113,114,96.25166666666667,84.6
114,115,96.20666666666666,85.25
115,116,96.44333333333334,85.39999999999999
116,117,96.56833333333333,84.52
117,118,96.39,84.61999999999999
118,119,96.345,84.49
119,120,96.36833333333334,84.31
120,121,96.61,84.73
121,122,96.63833333333334,84.99
122,123,96.75166666666667,84.58
123,124,96.625,85.28999999999999
124,125,96.61833333333333,85.13
125,126,96.77833333333334,85.11999999999999
126,127,96.80333333333333,83.91
127,128,96.91499999999999,86.02
128,129,96.91666666666666,86.06
129,130,96.86166666666666,85.48
130,131,96.91666666666666,83.05
131,132,96.87333333333333,84.78999999999999
132,133,97.005,84.53
133,134,96.975,85.61
134,135,97.03166666666667,86.42
135,136,97.04833333333333,85.25
136,137,97.12333333333333,85.44
137,138,97.42833333333333,85.53
138,139,97.07166666666667,86.46000000000001
139,140,97.23166666666667,85.96000000000001
140,141,97.23,86.00999999999999
141,142,97.085,84.55
142,143,97.25666666666667,85.44
143,144,97.365,86.03
144,145,97.33666666666667,84.28999999999999
145,146,97.375,85.82
146,147,97.44666666666667,86.21
147,148,97.33166666666668,87.64
148,149,97.34166666666667,85.7
149,150,97.59833333333333,85.91
150,151,97.665,85.49
151,152,97.54833333333333,86.63
152,153,97.35166666666667,85.87
153,154,97.60333333333332,86.65
154,155,97.81166666666667,85.27
155,156,97.505,87.15
156,157,97.72666666666666,86.26
157,158,97.84333333333333,85.78
158,159,97.84166666666667,86.06
159,160,97.57833333333333,86.17
160,161,97.83333333333334,86.0
161,162,97.85000000000001,85.71
162,163,97.725,86.25
163,164,97.64333333333333,85.59
164,165,97.77333333333334,85.96000000000001
165,166,97.86166666666666,86.61999999999999
166,167,97.94166666666668,85.79
167,168,97.89333333333333,85.91
168,169,98.13,85.7
169,170,97.84,86.28
170,171,98.11999999999999,86.64
171,172,97.83500000000001,85.61999999999999
172,173,97.87833333333333,85.9
173,174,98.085,86.53999999999999
174,175,98.09666666666666,85.98
175,176,97.91833333333332,86.97
176,177,97.87333333333333,85.76
177,178,97.95666666666666,86.21
178,179,98.115,84.00999999999999
179,180,98.07333333333334,85.58
180,181,97.95833333333334,85.94000000000001
181,182,98.04666666666667,85.58
182,183,98.08,86.07000000000001
183,184,97.925,85.72999999999999
184,185,98.115,85.28
185,186,98.33,86.48
186,187,98.09166666666667,84.65
187,188,98.195,84.66
188,189,98.09833333333333,85.19
189,190,98.05333333333334,85.66
190,191,98.275,85.74000000000001
191,192,98.17333333333333,85.94000000000001
192,193,98.265,86.08
193,194,98.285,85.5
194,195,98.115,86.11
195,196,98.17166666666667,85.47
196,197,98.31666666666666,85.28
197,198,98.38,86.6
198,199,98.15666666666667,84.98
199,200,98.32666666666667,86.16
200,201,98.38666666666667,86.92999999999999
201,202,98.39666666666666,86.6
202,203,98.28333333333333,85.71
203,204,98.22666666666666,85.53
204,205,98.395,85.54
205,206,98.41,86.72999999999999
206,207,98.35833333333333,85.71
207,208,98.385,85.81
208,209,98.42666666666666,85.92999999999999
209,210,98.41166666666666,86.06
210,211,98.39833333333333,87.41
211,212,98.49833333333333,86.00999999999999
212,213,98.36833333333334,86.47
213,214,98.29333333333334,86.77
214,215,98.57833333333333,86.58
215,216,98.54,85.36
216,217,98.48666666666666,86.75
217,218,98.57666666666667,85.18
218,219,98.62666666666667,85.03
219,220,98.32666666666667,85.45
220,221,98.50666666666666,86.16
221,222,98.50166666666667,84.71
222,223,98.50999999999999,86.74
223,224,98.44166666666668,85.86
224,225,98.69666666666667,85.91
225,226,98.475,87.03
226,227,98.50833333333333,86.88
227,228,98.70166666666667,87.03999999999999
228,229,98.63499999999999,87.44
229,230,98.57000000000001,86.46000000000001
230,231,98.65333333333334,86.69
231,232,98.62333333333333,86.52
232,233,98.51666666666667,86.61
233,234,98.695,86.92
234,235,98.61666666666666,85.9
235,236,98.47,87.03999999999999
236,237,98.50833333333333,86.94
237,238,98.70166666666667,87.61
238,239,98.65333333333334,85.77
239,240,98.64500000000001,86.26
240,241,98.66166666666668,85.71
241,242,98.74666666666667,86.3
242,243,98.67166666666667,86.91
243,244,98.70833333333333,86.83
244,245,98.56833333333334,87.35000000000001
245,246,98.715,86.37
246,247,98.65333333333334,86.05000000000001
247,248,98.57000000000001,86.16
248,249,98.76333333333334,86.49
249,250,98.83666666666666,86.57000000000001
250,251,98.57000000000001,86.85000000000001
251,252,98.69,86.83999999999999
252,253,98.835,86.02
253,254,98.69166666666666,85.45
254,255,98.69833333333334,86.96000000000001
255,256,98.75,86.35000000000001
256,257,98.75500000000001,86.46000000000001
257,258,98.71,86.2
258,259,98.64666666666668,86.56
259,260,98.76333333333334,85.59
260,261,98.765,85.75
261,262,98.77666666666667,86.19
262,263,98.91833333333334,85.86
263,264,98.85166666666667,86.5
264,265,98.81333333333333,86.9
265,266,98.85166666666667,86.24000000000001
266,267,98.76833333333333,85.7
267,268,98.60833333333333,85.79
268,269,98.72333333333333,86.65
269,270,99.00833333333333,86.58
270,271,98.85166666666667,85.18
271,272,98.685,86.45
272,273,98.84166666666667,86.72
273,274,98.85166666666667,84.77
274,275,98.795,85.88
275,276,98.86666666666667,86.3
276,277,98.96333333333334,85.79
277,278,98.565,85.89
278,279,98.82833333333333,85.68
279,280,98.875,86.78
280,281,98.87833333333333,86.6
281,282,98.87666666666667,86.27
282,283,98.89833333333333,86.4
283,284,98.80499999999999,85.96000000000001
284,285,98.88666666666667,85.84
285,286,98.94666666666667,86.48
