,epoch,Train_accuracy,Test_accuracy
0,1,72.04333333333334,89.56
1,2,90.79333333333334,92.66
2,3,92.99333333333333,94.04
3,4,94.35,94.88
4,5,95.41833333333334,95.39999999999999
5,6,96.03166666666667,95.81
6,7,96.52,96.17
7,8,96.935,96.55
8,9,97.28166666666667,96.78999999999999
9,10,97.59666666666666,97.13000000000001
10,11,97.82666666666667,97.25
11,12,98.055,97.35000000000001
12,13,98.22166666666666,97.41
13,14,98.41,97.44
14,15,98.57166666666667,97.45
15,16,98.71333333333332,97.44
16,17,98.85333333333334,97.39
17,18,98.98333333333333,97.47
18,19,99.08666666666667,97.61999999999999
19,20,99.17666666666666,97.64
20,21,99.285,97.61999999999999
21,22,99.32833333333333,97.6
22,23,99.40166666666667,97.7
23,24,99.46833333333333,97.72
24,25,99.55000000000001,97.61999999999999
25,26,99.58500000000001,97.78
26,27,99.64166666666667,97.72
27,28,99.68,97.75
28,29,99.695,97.67
29,30,99.74833333333333,97.7
30,31,99.68166666666667,97.59
31,32,99.765,97.77
32,33,99.73666666666666,97.65
33,34,99.73833333333333,97.58
34,35,99.75333333333334,97.81
35,36,99.8,97.69
36,37,99.85000000000001,97.87
37,38,99.85166666666667,97.76
38,39,99.78,97.92999999999999
39,40,99.83833333333332,97.66
40,41,99.85166666666667,97.77
41,42,99.81333333333333,97.91
42,43,99.775,97.7
43,44,99.78166666666667,97.98
44,45,99.85166666666667,97.84
45,46,99.91166666666666,97.96000000000001
46,47,99.94166666666666,98.03
47,48,99.95333333333333,98.02
48,49,99.95833333333334,97.95
49,50,99.96000000000001,98.08
50,51,99.985,98.09
51,52,99.98333333333333,98.13
52,53,99.985,98.03
53,54,99.97166666666666,98.05
54,55,99.99,97.98
55,56,99.99666666666667,98.07000000000001
56,57,99.99833333333333,98.08
57,58,99.99833333333333,98.08
58,59,99.99833333333333,98.1
59,60,99.99833333333333,98.08
60,61,100.0,98.11
