,epoch,Train_accuracy,Test_accuracy
0,1,0.504,0.5
1,2,0.534,1.0
2,3,0.658,1.43
3,4,0.736,1.5
4,5,0.775,1.52
5,6,0.751,1.5599999999999998
6,7,0.79,1.73
7,8,0.845,1.77
8,9,0.836,1.91
9,10,0.922,1.9800000000000002
10,11,0.9990000000000001,1.8900000000000001
11,12,1.058,1.92
12,13,1.18,1.67
13,14,1.313,1.8399999999999999
14,15,1.414,1.8499999999999999
15,16,1.685,1.7500000000000002
16,17,1.78,1.95
17,18,1.951,1.7000000000000002
18,19,2.205,1.72
19,20,2.559,1.7999999999999998
20,21,2.646,1.7500000000000002
21,22,2.973,1.76
22,23,3.216,1.79
23,24,3.544,1.8599999999999999
24,25,3.778,1.55
25,26,4.02,1.58
26,27,4.4510000000000005,1.46
27,28,4.77,1.4000000000000001
28,29,5.138,1.39
29,30,5.335,1.4500000000000002
30,31,5.705,1.44
31,32,5.958,1.4000000000000001
32,33,6.385000000000001,1.4500000000000002
33,34,6.614000000000001,1.22
34,35,6.927,1.25
35,36,7.237,1.31
36,37,7.734000000000001,1.29
37,38,8.392,1.27
38,39,8.315999999999999,1.39
39,40,8.979,1.32
40,41,9.531,1.27
41,42,9.791,1.52
42,43,10.024,1.0
43,44,10.225,1.27
44,45,10.962,1.24
45,46,11.328000000000001,1.0
46,47,11.666,1.1199999999999999
47,48,11.93,1.1199999999999999
48,49,12.577,1.24
49,50,13.111999999999998,1.18
50,51,13.708,1.0999999999999999
51,52,13.941,1.05
52,53,14.145,1.03
53,54,15.084,0.9199999999999999
54,55,15.695999999999998,1.32
55,56,16.09,1.0
56,57,16.314,1.0699999999999998
57,58,16.793,0.91
58,59,17.127,1.0
59,60,18.526,1.06
60,61,18.229,1.0
61,62,18.924,1.0999999999999999
62,63,19.811999999999998,1.0699999999999998
63,64,20.554,0.98
64,65,20.413999999999998,1.0
65,66,21.096999999999998,1.13
66,67,21.633,0.9400000000000001
67,68,22.234,0.8999999999999999
68,69,22.863,0.76
