,acc_class
0,0.265
1,0.205
2,0.0945
3,0.0729
4,0.1395
5,0.0713
6,0.0575
7,0.0179
8,0.1452
9,0.1173
10,0.002
11,0.0375
12,0.2229
13,0.2037
14,0.1094
15,0.0622
16,0.0271
17,0.049
18,0.1523
19,0.0969
20,0.0876
21,0.1396
22,0.2255
23,0.2996
24,0.0407
25,0.0819
26,0.0824
27,0.0259
28,0.1467
29,0.1124
30,0.0591
31,0.15
32,0.0408
33,0.0755
34,0.2043
35,0.0797
36,0.1525
37,0.0909
38,0.0822
39,0.0798
40,0.0327
41,0.0875
42,0.0512
43,0.1033
44,0.2346
45,0.1499
46,0.0285
47,0.0622
48,0.0388
49,0.054
50,0.2152
51,0.0426
52,0.0828
53,0.1383
54,0.0592
55,0.1388
56,0.0408
57,0.1753
58,0.1631
59,0.0624
60,0.1077
61,0.0886
62,0.0312
63,0.1255
64,0.0057
65,0.0753
66,0.1446
67,0.0485
68,0.1897
69,0.1144
70,0.1175
71,0.122
72,0.0258
73,0.0487
74,0.0916
75,0.0545
76,0.0037
77,0.046
78,0.2234
79,0.0216
80,0.0251
81,0.286
82,0.1944
83,0.0626
84,0.0736
85,0.096
86,0.1437
87,0.1384
88,0.0086
89,0.1556
90,0.1085
91,0.0723
92,0.0823
93,0.1242
94,0.1245
95,0.0192
96,0.1253
97,0.1071
98,0.0895
99,0.0437
100,0.0645
101,0.0923
102,0.0452
103,0.301
104,0.1344
105,0.1286
106,0.0667
107,0.1643
108,0.0387
109,0.0287
110,0.1337
111,0.1736
112,0.1043
113,0.0687
114,0.1603
115,0.1723
116,0.0918
117,0.0974
118,0.1412
119,0.0438
120,0.0334
121,0.0857
122,0.0582
123,0.0393
124,0.167
125,0.0106
126,0.1494
127,0.0456
128,0.127
129,0.0536
130,0.0416
131,0.0193
132,0.0428
133,0.1753
134,0.0823
135,0.0177
136,0.0285
137,0.0438
138,0.0304
139,0.023
140,0.075
141,0.0535
142,0.0224
143,0.1941
144,0.0281
145,0.2935
146,0.1341
147,0.0397
148,0.1042
149,0.0079
150,0.0535
151,0.087
152,0.1152
153,0.0971
154,0.1833
155,0.0736
156,0.0842
157,0.0731
158,0.0302
159,0.0097
160,0.0176
161,0.0078
162,0.1426
163,0.0865
164,0.1164
165,0.2792
166,0.1977
167,0.1372
168,0.0403
169,0.1549
170,0.0644
171,0.044
172,0.0686
173,0.1197
174,0.0371
175,0.0193
176,0.2339
177,0.1863
178,0.1369
179,0.058
180,0.0736
181,0.1349
182,0.1016
183,0.2027
184,0.0935
185,0.0281
186,0.1863
187,0.1193
188,0.1592
189,0.2047
190,0.1137
191,0.1927
192,0.2544
193,0.2314
194,0.1156
195,0.0704
196,0.1262
197,0.0511
198,0.122
199,0.0794
