,acc_class
0,0.6605
1,0.5673
2,0.6811
3,0.6559
4,0.7833
5,0.6782
6,0.7392
7,0.6753
8,0.7321
9,0.6255
10,0.7767
11,0.6982
12,0.7179
13,0.6091
14,0.6445
15,0.6667
16,0.675
17,0.7569
18,0.6466
19,0.6948
20,0.6494
21,0.738
22,0.6863
23,0.7173
24,0.7658
25,0.731
26,0.7118
27,0.6713
28,0.6446
29,0.686
30,0.7933
31,0.736
32,0.7735
33,0.6623
34,0.6615
35,0.4885
36,0.6772
37,0.5609
38,0.6616
39,0.6547
40,0.7204
41,0.7186
42,0.7207
43,0.6803
44,0.5846
45,0.6698
46,0.6782
47,0.722
48,0.5449
49,0.446
50,0.4362
51,0.4442
52,0.6066
53,0.502
54,0.6529
55,0.7143
56,0.5408
57,0.4143
58,0.625
59,0.7543
60,0.619
61,0.689
62,0.5915
63,0.6331
64,0.6971
65,0.6236
66,0.5141
67,0.7131
68,0.6561
69,0.6864
70,0.502
71,0.6504
72,0.6561
73,0.7778
74,0.6737
75,0.7253
76,0.6772
77,0.6437
78,0.623
79,0.6974
80,0.722
81,0.5494
82,0.6613
83,0.7182
84,0.5606
85,0.63
86,0.4544
87,0.5248
88,0.7318
89,0.7988
90,0.6647
91,0.7129
92,0.5924
93,0.6905
94,0.5124
95,0.703
96,0.6159
97,0.6646
98,0.76
99,0.7646
100,0.7661
101,0.6942
102,0.6994
103,0.596
104,0.7134
105,0.6307
106,0.7086
107,0.716
108,0.646
109,0.6797
110,0.5369
111,0.6405
112,0.626
113,0.7863
114,0.6253
115,0.6277
116,0.3812
117,0.7058
118,0.4725
119,0.6075
120,0.6994
121,0.5438
122,0.7547
123,0.7128
124,0.5458
125,0.697
126,0.5976
127,0.639
128,0.5254
129,0.5977
130,0.6515
131,0.6731
132,0.6829
133,0.4004
134,0.6345
135,0.6969
136,0.7317
137,0.6514
138,0.6414
139,0.8388
140,0.5687
141,0.6772
142,0.7291
143,0.6812
144,0.8216
145,0.5951
146,0.7199
147,0.7004
148,0.7333
149,0.6974
150,0.7058
151,0.5731
152,0.7227
153,0.5282
154,0.6517
155,0.6322
156,0.7536
157,0.6785
158,0.6875
159,0.7112
160,0.7941
161,0.7563
162,0.438
163,0.7312
164,0.5621
165,0.5366
166,0.5656
167,0.5677
168,0.7198
169,0.6439
170,0.5372
171,0.5891
172,0.6078
173,0.6541
174,0.7052
175,0.6944
176,0.629
177,0.6522
178,0.6722
179,0.706
180,0.6933
181,0.5653
182,0.6118
183,0.6635
184,0.6463
185,0.6904
186,0.698
187,0.6708
188,0.7184
189,0.6803
190,0.6021
191,0.5801
192,0.6485
193,0.6922
194,0.5801
195,0.5252
196,0.6036
197,0.6128
198,0.6831
199,0.6884
