,number_pca_components_class
0,10
1,10
2,10
3,10
4,10
5,10
6,11
7,10
8,10
9,10
10,10
11,10
12,10
13,10
14,10
15,10
16,10
17,11
18,10
19,10
20,10
21,11
22,10
23,10
24,11
25,12
26,12
27,12
28,11
29,12
30,11
31,11
32,11
33,11
34,10
35,11
36,10
37,10
38,11
39,10
40,10
41,10
42,10
43,10
44,10
45,10
46,10
47,12
48,12
49,10
50,12
51,11
52,10
53,10
54,11
55,11
56,11
57,10
58,11
59,11
60,11
61,10
62,11
63,12
64,11
65,10
66,10
67,12
68,11
69,11
70,10
71,11
72,11
73,11
74,11
75,10
76,12
77,12
78,10
79,11
80,12
81,11
82,10
83,11
84,10
85,12
86,11
87,11
88,11
89,11
90,10
91,11
92,11
93,10
94,10
95,10
96,11
97,10
98,11
99,11
100,12
101,10
102,11
103,10
104,11
105,11
106,12
107,10
108,10
109,11
110,12
111,10
112,10
113,11
114,10
115,10
116,10
117,11
118,10
119,11
120,11
121,10
122,11
123,11
124,10
125,11
126,10
127,12
128,10
129,11
130,12
131,11
132,11
133,10
134,12
135,11
136,11
137,10
138,12
139,11
140,11
141,11
142,10
143,10
144,11
145,10
146,10
147,11
148,10
149,12
150,12
151,11
152,10
153,10
154,10
155,12
156,12
157,10
158,13
159,11
160,11
161,12
162,10
163,11
164,10
165,10
166,10
167,11
168,12
169,11
170,11
171,11
172,11
173,10
174,11
175,12
176,10
177,11
178,11
179,11
180,12
181,11
182,11
183,11
184,10
185,11
186,10
187,10
188,11
189,11
190,11
191,11
192,10
193,11
194,10
195,10
196,10
197,10
198,10
199,10
