,number_pca_components_class
0,7
1,5
2,5
3,6
4,6
5,6
6,6
7,6
8,6
9,6
10,6
11,6
12,5
13,5
14,6
15,6
16,6
17,6
18,5
19,6
20,5
21,5
22,6
23,5
24,6
25,6
26,6
27,5
28,5
29,5
30,6
31,6
32,6
33,6
34,6
35,5
36,6
37,6
38,6
39,6
40,6
41,6
42,7
43,6
44,5
45,6
46,6
47,6
48,6
49,5
50,5
51,6
52,6
53,5
54,5
55,5
56,6
57,5
58,5
59,5
60,5
61,5
62,6
63,5
64,6
65,5
66,6
67,6
68,5
69,7
70,5
71,6
72,7
73,6
74,6
75,5
76,6
77,5
78,6
79,6
80,6
81,5
82,5
83,6
84,5
85,6
86,6
87,5
88,6
89,6
90,5
91,6
92,6
93,5
94,5
95,6
96,6
97,5
98,5
99,6
100,6
101,6
102,6
103,5
104,5
105,5
106,5
107,5
108,5
109,6
110,6
111,5
112,5
113,6
114,5
115,5
116,5
117,6
118,5
119,5
120,6
121,5
122,6
123,5
124,6
125,6
126,5
127,6
128,5
129,6
130,6
131,6
132,6
133,5
134,6
135,6
136,6
137,6
138,6
139,5
140,6
141,6
142,6
143,5
144,6
145,5
146,5
147,5
148,6
149,6
150,5
151,6
152,6
153,5
154,6
155,6
156,5
157,6
158,6
159,6
160,6
161,6
162,5
163,5
164,5
165,5
166,5
167,5
168,6
169,6
170,6
171,5
172,6
173,6
174,5
175,6
176,5
177,6
178,6
179,6
180,6
181,6
182,6
183,6
184,6
185,6
186,6
187,7
188,6
189,5
190,6
191,5
192,6
193,6
194,6
195,6
196,6
197,6
198,6
199,6
