,number_pca_components_class
0,6
1,5
2,5
3,6
4,5
5,5
6,6
7,7
8,6
9,5
10,6
11,5
12,5
13,12
14,7
15,6
16,5
17,6
18,5
19,5
20,5
21,5
22,6
23,10
24,6
25,6
26,5
27,6
28,5
29,6
30,5
31,6
32,5
33,5
34,6
35,5
36,6
37,5
38,5
39,6
40,6
41,5
42,7
43,6
44,5
45,5
46,6
47,5
48,5
49,5
50,6
51,5
52,6
53,5
54,6
55,5
56,5
57,5
58,5
59,6
60,6
61,5
62,6
63,6
64,6
65,6
66,6
67,6
68,5
69,6
70,6
71,7
72,7
73,6
74,6
75,6
76,6
77,6
78,6
79,7
80,6
81,5
82,5
83,7
84,5
85,6
86,6
87,6
88,7
89,5
90,6
91,5
92,7
93,5
94,5
95,7
96,6
97,6
98,6
99,7
100,6
101,7
102,6
103,5
104,6
105,6
106,6
107,5
108,6
109,7
110,6
111,5
112,6
113,7
114,5
115,6
116,6
117,7
118,5
119,6
120,6
121,6
122,7
123,5
124,6
125,7
126,5
127,6
128,6
129,6
130,7
131,6
132,7
133,5
134,6
135,6
136,6
137,6
138,5
139,6
140,6
141,6
142,6
143,5
144,6
145,5
146,7
147,6
148,8
149,6
150,6
151,6
152,7
153,5
154,6
155,7
156,6
157,6
158,5
159,8
160,6
161,6
162,5
163,6
164,5
165,5
166,5
167,6
168,7
169,5
170,7
171,5
172,6
173,7
174,6
175,6
176,6
177,5
178,5
179,6
180,6
181,6
182,5
183,5
184,5
185,5
186,6
187,7
188,6
189,5
190,5
191,5
192,5
193,6
194,6
195,6
196,9
197,6
198,6
199,5
