,epoch,Train_accuracy,Test_accuracy
0,1,17.26,22.17
1,2,20.796,34.160000000000004
2,3,22.906000000000002,41.410000000000004
3,4,24.312,38.33
4,5,26.3,46.92
5,6,27.428,46.03
6,7,29.554000000000002,54.52
7,8,30.636000000000003,55.65
8,9,30.516,52.96999999999999
9,10,32.798,56.410000000000004
10,11,33.924,57.11000000000001
11,12,34.636,56.71000000000001
12,13,36.181999999999995,58.79
13,14,36.93,57.50999999999999
14,15,37.988,57.220000000000006
15,16,38.982,56.52
16,17,40.717999999999996,56.04
17,18,42.014,55.61000000000001
18,19,42.418,54.14
19,20,44.876,52.73
20,21,44.992,51.54
21,22,46.61,50.5
22,23,48.492000000000004,49.32
23,24,49.522,48.14
24,25,50.43,48.38
25,26,52.312000000000005,48.47
26,27,52.598,46.51
27,28,53.92,44.99
28,29,55.11200000000001,44.76
29,30,56.711999999999996,43.94
30,31,58.216,43.84
31,32,58.866,42.34
32,33,59.206,43.09
33,34,60.526,40.44
34,35,60.572,39.97
35,36,62.256,40.129999999999995
36,37,62.842,40.1
37,38,62.918,39.25
38,39,64.424,39.83
39,40,64.91,38.36
40,41,65.682,38.690000000000005
41,42,66.27,37.21
42,43,68.316,38.379999999999995
43,44,67.60199999999999,37.08
44,45,67.496,37.85
45,46,69.026,36.78
46,47,69.972,35.809999999999995
47,48,69.658,36.47
48,49,70.86,37.21
49,50,71.416,35.79
50,51,71.318,35.83
51,52,72.342,37.01
52,53,73.262,36.74
53,54,73.418,36.38
54,55,74.152,35.980000000000004
55,56,74.32600000000001,35.43
56,57,74.738,34.54
57,58,74.088,34.42
58,59,75.226,34.53
59,60,74.57000000000001,35.39
60,61,75.262,34.660000000000004
61,62,75.332,34.5
62,63,76.47,34.31
63,64,76.494,34.47
64,65,75.91799999999999,34.11
65,66,76.442,33.379999999999995
66,67,77.47,33.29
67,68,77.306,33.160000000000004
68,69,77.888,33.69
69,70,77.804,33.15
70,71,78.19,33.56
71,72,78.896,33.379999999999995
72,73,79.086,33.36
73,74,78.934,33.040000000000006
74,75,79.83,32.86
75,76,79.204,32.67
76,77,79.188,33.5
77,78,80.108,32.57
78,79,80.16799999999999,33.4
79,80,81.158,32.93
80,81,81.21199999999999,32.6
81,82,80.86,33.14
82,83,81.06,32.550000000000004
83,84,80.78999999999999,31.830000000000002
84,85,81.694,33.2
85,86,81.714,33.22
86,87,81.798,31.790000000000003
87,88,82.188,32.18
88,89,82.63000000000001,31.740000000000002
89,90,82.88799999999999,32.61
90,91,82.556,32.4
91,92,82.658,32.65
92,93,82.224,32.5
93,94,81.162,32.06
94,95,83.47200000000001,32.36
95,96,81.978,31.819999999999997
96,97,84.128,31.990000000000002
97,98,83.56400000000001,32.56
98,99,84.336,32.28
99,100,84.70400000000001,32.57
100,101,83.95,31.3
101,102,84.38600000000001,32.54
102,103,84.396,32.440000000000005
103,104,83.94200000000001,31.77
104,105,84.866,30.620000000000005
105,106,83.586,32.019999999999996
106,107,85.148,31.31
107,108,85.044,31.840000000000003
108,109,84.828,31.630000000000003
109,110,85.054,31.64
110,111,86.002,31.41
111,112,86.004,31.06
112,113,85.576,31.330000000000002
113,114,84.57000000000001,32.029999999999994
114,115,85.678,30.78
115,116,85.68599999999999,31.35
116,117,85.734,31.55
117,118,86.07000000000001,31.59
118,119,86.124,31.25
119,120,85.628,31.71
120,121,86.79599999999999,30.819999999999997
121,122,85.59400000000001,31.44
122,123,86.33800000000001,30.89
123,124,86.774,30.86
124,125,86.53,31.130000000000003
125,126,86.268,31.39
126,127,86.342,30.91
127,128,87.02600000000001,31.15
128,129,86.96199999999999,31.669999999999998
129,130,87.666,31.119999999999997
130,131,87.036,30.81
131,132,87.41799999999999,31.680000000000003
132,133,86.49799999999999,31.130000000000003
133,134,87.28,31.03
134,135,87.69,31.230000000000004
135,136,86.882,31.080000000000002
136,137,86.72,30.94
137,138,87.02,31.080000000000002
138,139,87.612,31.790000000000003
139,140,87.82,31.85
140,141,87.424,30.95
141,142,87.834,31.7
142,143,87.608,30.84
143,144,87.524,31.95
144,145,87.83,30.79
145,146,88.41799999999999,32.31
146,147,88.248,31.44
147,148,88.664,32.629999999999995
