,epoch,Train_accuracy,Test_accuracy
0,1,20.024,48.22
1,2,26.494,52.52
2,3,30.042,48.8
3,4,33.362,45.03
4,5,37.8,39.34
5,6,44.254,33.86
6,7,51.361999999999995,32.440000000000005
7,8,57.69800000000001,29.49
8,9,63.7,31.430000000000003
9,10,69.016,28.970000000000002
10,11,73.738,28.050000000000004
11,12,77.952,30.240000000000002
12,13,80.914,29.609999999999996
13,14,84.26,28.83
14,15,86.772,30.509999999999998
15,16,88.086,31.119999999999997
16,17,90.054,32.690000000000005
17,18,91.46600000000001,32.04
18,19,92.524,31.89
19,20,93.38,30.070000000000004
20,21,93.84599999999999,32.300000000000004
21,22,94.754,32.83
22,23,95.112,32.79
23,24,95.89999999999999,33.44
24,25,96.28999999999999,33.46
25,26,96.678,32.15
26,27,96.786,31.91
27,28,97.182,32.25
28,29,97.41,33.410000000000004
29,30,97.34,32.31
30,31,97.698,33.650000000000006
31,32,97.832,34.79
32,33,98.27,34.08
33,34,98.464,34.27
34,35,98.61,33.62
35,36,98.624,33.53
36,37,98.68400000000001,32.89
37,38,98.88,32.78
38,39,98.812,32.7
39,40,98.87599999999999,32.75
40,41,98.94800000000001,32.73
41,42,99.14,32.43
42,43,99.244,32.440000000000005
43,44,99.318,33.56
44,45,99.464,33.73
45,46,99.544,33.75
46,47,99.616,33.660000000000004
47,48,99.664,32.910000000000004
48,49,99.74,34.01
49,50,99.806,33.11
50,51,99.858,34.04
51,52,99.91,33.93
52,53,99.95,35.04
53,54,99.978,34.839999999999996
54,55,99.98,34.88
55,56,99.98,34.62
56,57,99.994,34.47
57,58,99.998,34.239999999999995
58,59,100.0,34.12
