epoch,Train_acc_withbias,Train_acc_org_withbias,Test_acc_withbias,Train_acc_zerobias,Train_acc_org_zerobias,Test_acc_zerobias
0,11.256,11.264000000000001,11.58,12.978000000000002,12.97,12.879999999999999
1,59.756,59.756,57.60999999999999,63.224000000000004,63.22,60.56
2,70.49600000000001,70.49600000000001,65.7,74.78399999999999,74.79,68.54
4,73.678,73.668,64.69,77.268,77.268,66.23
6,76.852,76.85,64.77000000000001,80.618,80.624,67.03
8,84.80799999999999,84.806,70.12,87.274,87.272,71.56
10,88.0,87.998,71.33,89.74600000000001,89.752,72.28
12,90.826,90.83200000000001,72.45,92.474,92.46600000000001,73.22
14,91.846,91.84400000000001,72.61999999999999,93.10199999999999,93.10000000000001,73.3
16,96.192,96.196,75.77000000000001,96.976,96.976,76.36
