,epoch,average_angle_pc_weight
0,0,90.27504501342773
1,1,79.50572662353515
2,2,78.34097747802734
3,4,76.1191780090332
4,6,74.63094711303711
5,8,73.42178115844726
6,10,72.59745025634766
7,12,71.95945434570312
8,14,71.5543228149414
9,16,71.28076400756837
10,18,71.22809524536133
11,20,71.30873947143554
12,25,71.89923324584962
13,30,72.77127075195312
14,35,73.84623794555664
15,40,74.44820938110351
16,45,74.7831901550293
17,50,74.10651779174805
18,55,73.84578933715821
19,60,73.71385955810547
20,65,73.29884185791016
21,70,72.89823760986329
22,75,72.43393783569336
23,80,72.44410095214843
24,85,72.20070343017578
25,90,72.12599182128906
26,95,72.02955551147461
27,100,72.13368377685546
28,105,72.32821273803711
29,110,71.23586807250976
30,115,71.24833526611329
31,120,71.20994262695312
32,125,71.39161758422851
33,130,71.51811599731445
34,135,71.84809799194336
