epoch,Train_acc_zerobias,Train_acc_org_zerobias,Test_acc_zerobias
0,19.201999999999998,24.9,25.979999999999997
1,25.45,35.252,35.79
2,30.869999999999997,44.54,45.53
4,37.984,55.838,55.17999999999999
6,42.574,62.29599999999999,61.150000000000006
8,45.556000000000004,66.176,63.480000000000004
10,48.687999999999995,69.628,65.51
12,51.910000000000004,72.126,65.81
14,54.379999999999995,73.15,64.81
16,57.99999999999999,73.874,63.519999999999996
18,61.562,74.42800000000001,61.94
20,64.40599999999999,74.21799999999999,60.809999999999995
25,70.956,73.298,57.220000000000006
30,74.468,73.126,55.900000000000006
35,75.31,72.76599999999999,55.54
40,76.27199999999999,72.884,55.910000000000004
45,75.07000000000001,72.456,55.63
50,76.24600000000001,73.13,56.14
55,77.176,72.926,55.730000000000004
60,76.606,72.806,56.19
65,77.448,72.604,55.779999999999994
70,77.16199999999999,73.038,56.16
75,76.91,72.908,56.489999999999995
80,77.962,72.488,55.71
85,78.39,72.392,55.559999999999995
90,77.718,72.75,55.78999999999999
95,78.67,72.932,56.19
100,77.762,72.434,55.43
105,78.41799999999999,72.64,55.75
110,77.904,72.434,55.38999999999999
115,78.404,72.626,56.11000000000001
120,78.704,72.304,55.24
125,79.306,72.152,55.63
130,79.488,72.162,55.17999999999999
135,78.91,71.976,55.58
140,79.224,72.2,55.66
145,79.03999999999999,71.914,54.97
150,80.228,72.232,55.50000000000001
155,79.998,72.074,55.32
160,80.122,72.19200000000001,55.669999999999995
165,79.53,72.162,56.00000000000001
170,79.658,71.89,55.089999999999996
175,80.284,71.806,54.900000000000006
180,80.39,71.624,54.769999999999996
185,80.11,71.882,54.86
190,79.892,72.00800000000001,55.1
195,80.264,72.09,55.059999999999995
200,80.25,72.076,55.42
205,81.22200000000001,71.38600000000001,55.230000000000004
210,80.042,72.036,55.410000000000004
215,80.852,72.128,55.33
220,80.53399999999999,71.734,55.17999999999999
225,80.906,71.542,54.7
230,79.658,71.65,55.559999999999995
235,80.552,71.636,55.00000000000001
240,80.444,71.722,55.36
245,81.21199999999999,71.55799999999999,54.6
250,79.96,71.686,55.22
255,80.092,71.71,54.730000000000004
260,80.96,71.44200000000001,54.24
265,80.66600000000001,71.734,55.120000000000005
270,81.608,71.16,54.76
275,81.37,71.516,55.35
280,80.878,71.326,54.559999999999995
285,80.96799999999999,71.28999999999999,54.36
290,81.408,71.13000000000001,54.35
295,80.438,71.46000000000001,55.13
300,80.87,71.346,55.46
305,81.596,71.26,55.31
310,80.726,71.352,55.1
315,80.58,71.13000000000001,54.769999999999996
320,80.732,71.056,54.59
325,81.24,71.28999999999999,54.58
330,81.14,70.98,53.94
335,80.998,71.05,54.55
340,81.582,71.37400000000001,55.089999999999996
345,81.43,71.096,54.94
350,81.24,70.826,54.24
355,80.88,70.986,53.81
360,81.238,71.016,54.190000000000005
365,81.89800000000001,71.032,54.08
370,82.24000000000001,70.974,53.49
375,81.22200000000001,71.214,53.98
380,82.07600000000001,70.87599999999999,53.839999999999996
385,81.58999999999999,70.904,53.81
390,82.21199999999999,70.71600000000001,54.09
395,82.15599999999999,70.712,53.779999999999994
400,81.246,70.97200000000001,54.59
405,81.844,70.50800000000001,54.21
410,81.594,70.97,54.44
415,82.502,70.904,54.44
420,81.97,70.902,54.42
425,82.614,70.492,53.5
430,82.592,70.98,54.24
435,82.882,70.64,54.02
440,81.98,70.53399999999999,53.99
445,82.074,70.428,54.08
450,82.316,70.202,53.769999999999996
455,82.602,70.148,53.38
460,82.378,69.992,53.13
465,82.718,70.57,53.879999999999995
470,82.666,70.422,54.15
475,82.226,70.06599999999999,53.21
480,82.918,70.39800000000001,53.59
485,82.19,70.53399999999999,54.04
490,82.93199999999999,70.634,54.43
495,82.808,70.65,54.2
500,82.56599999999999,70.49600000000001,54.559999999999995
