epoch,Train_acc_withbias,Train_acc_org_withbias,Test_acc_withbias,Train_acc_zerobias,Train_acc_org_zerobias,Test_acc_zerobias
0,19.948,19.948,20.330000000000002,28.098,28.098,28.18
1,29.042,29.042,29.409999999999997,31.116,31.114000000000004,31.41
2,38.986,38.986,38.89,39.762,39.762,39.95
4,46.894000000000005,46.894000000000005,45.72,47.904,47.904,46.94
6,51.356,51.356,48.42,52.808,52.808,49.74
8,54.564,54.564,49.980000000000004,55.87,55.87,51.25999999999999
10,57.092,57.092,50.480000000000004,58.513999999999996,58.513999999999996,52.38
12,59.086000000000006,59.086000000000006,51.01,60.502,60.502,52.5
14,61.048,61.048,51.17,62.538000000000004,62.538000000000004,52.66
16,62.602000000000004,62.602000000000004,51.28,64.19399999999999,64.19399999999999,52.54
18,64.02799999999999,64.02799999999999,51.13999999999999,65.606,65.606,52.190000000000005
20,65.244,65.244,51.06,66.61399999999999,66.61399999999999,52.349999999999994
25,67.05799999999999,67.05799999999999,50.0,68.824,68.824,50.94
30,68.878,68.878,50.2,70.586,70.586,50.870000000000005
35,71.14200000000001,71.14200000000001,50.28,72.474,72.474,50.4
40,74.982,74.982,51.09,76.322,76.322,51.31
45,77.298,77.298,51.339999999999996,78.758,78.758,52.080000000000005
50,81.922,81.922,51.160000000000004,83.322,83.322,51.4
55,82.86,82.86,51.54,84.066,84.066,51.839999999999996
60,83.974,83.974,52.1,84.792,84.792,52.64
65,85.446,85.446,51.629999999999995,86.198,86.198,51.77
70,87.336,87.336,52.059999999999995,88.386,88.386,52.21
75,89.018,89.018,52.55,89.898,89.898,52.910000000000004
80,90.582,90.582,52.400000000000006,91.43,91.43,52.89
85,91.606,91.606,52.25,92.506,92.506,52.739999999999995
90,90.95,90.95,52.370000000000005,91.934,91.934,52.55
95,92.816,92.816,52.349999999999994,93.554,93.554,52.580000000000005
100,94.8,94.8,52.96999999999999,95.41199999999999,95.41199999999999,53.059999999999995
