epoch,Train_accuracy,Train_accuracy_org,Test_accuracy
11,83.949,0.5,0.5
12,86.80799999999999,0.5,0.5
13,89.166,0.5,0.5
14,89.059,0.5,0.5
15,87.653,0.5,0.5
16,80.55099999999999,0.5,0.5
17,79.416,0.5,0.5
18,83.363,0.5,0.5
19,51.744,0.5,0.5
20,29.479,0.5,0.5
21,47.438,0.5,0.5
22,41.958,0.5,0.5
23,26.642,0.5,0.5
24,18.849,0.5,0.5
25,0.0,0.5,0.5
26,0.0,0.5,0.5
27,0.0,0.5,0.5
28,0.0,0.5,0.5
29,0.0,0.5,0.5
30,0.0,0.5,0.5
31,0.0,0.5,0.5
32,0.0,0.5,0.5
33,0.0,0.5,0.5
34,0.0,0.5,0.5
35,0.0,0.5,0.5
36,0.0,0.5,0.5
37,0.0,0.5,0.5
38,0.0,0.5,0.5
39,0.0,0.5,0.5
40,0.0,0.5,0.5
41,0.0,0.5,0.5
42,0.0,0.5,0.5
43,0.0,0.5,0.5
44,0.0,0.5,0.5
45,0.0,0.5,0.5
46,0.0,0.5,0.5
47,0.0,0.5,0.5
48,0.0,0.5,0.5
49,0.0,0.5,0.5
50,0.0,0.5,0.5
51,0.0,0.5,0.5
52,0.0,0.5,0.5
53,0.0,0.5,0.5
54,0.0,0.5,0.5
55,0.0,0.5,0.5
56,0.0,0.5,0.5
57,0.0,0.5,0.5
58,0.0,0.5,0.5
59,0.0,0.5,0.5
60,0.0,0.5,0.5
61,0.0,0.5,0.5
62,0.0,0.5,0.5
63,0.0,0.5,0.5
64,0.0,0.5,0.5
65,0.0,0.5,0.5
66,0.0,0.5,0.5
67,0.0,0.5,0.5
68,0.0,0.5,0.5
69,0.0,0.5,0.5
70,0.0,0.5,0.5
71,0.0,0.5,0.5
72,0.0,0.5,0.5
73,0.0,0.5,0.5
74,0.0,0.5,0.5
75,0.0,0.5,0.5
76,0.0,0.5,0.5
77,0.0,0.5,0.5
78,0.0,0.5,0.5
79,0.0,0.5,0.5
80,0.0,0.5,0.5
81,0.0,0.5,0.5
82,0.0,0.5,0.5
83,0.0,0.5,0.5
84,0.0,0.5,0.5
85,0.0,0.5,0.5
86,0.0,0.5,0.5
87,0.0,0.5,0.5
88,0.0,0.5,0.5
89,0.0,0.5,0.5
90,0.0,0.5,0.5
91,0.0,0.5,0.5
92,0.0,0.5,0.5
93,0.0,0.5,0.5
94,0.0,0.5,0.5
95,0.0,0.5,0.5
96,0.0,0.5,0.5
97,0.0,0.5,0.5
98,0.0,0.5,0.5
99,0.0,0.5,0.5
100,0.0,0.5,0.5
