Epoch,Correct,Total,Accuracy
10,38891,50000,0.7778
11,39850,50000,0.797
12,40771,50000,0.8154
13,40177,50000,0.8035
14,42189,50000,0.8438
15,42678,50000,0.8536
16,43160,50000,0.8632
17,43607,50000,0.8721
18,44190,50000,0.8838
19,45050,50000,0.901
20,46113,50000,0.9223
21,45819,50000,0.9164
22,46499,50000,0.93
23,47256,50000,0.9451
24,47703,50000,0.9541
25,47935,50000,0.9587
26,48109,50000,0.9622
27,48525,50000,0.9705
28,48583,50000,0.9717
29,48647,50000,0.9729
30,48711,50000,0.9742
31,49013,50000,0.9803
32,49069,50000,0.9814
33,48713,50000,0.9743
34,49288,50000,0.9858
35,49326,50000,0.9865
36,49340,50000,0.9868
37,49119,50000,0.9824
38,48939,50000,0.9788
39,49136,50000,0.9827
40,48903,50000,0.9781
41,49464,50000,0.9893
42,49312,50000,0.9862
43,49111,50000,0.9822
44,49339,50000,0.9868
45,48911,50000,0.9782
46,49301,50000,0.986
47,49316,50000,0.9863
48,49052,50000,0.981
49,49150,50000,0.983
50,49230,50000,0.9846
51,49252,50000,0.985
52,49499,50000,0.99
53,49475,50000,0.9895
54,49325,50000,0.9865
55,49440,50000,0.9888
56,49450,50000,0.989
57,49621,50000,0.9924
58,49521,50000,0.9904
59,49365,50000,0.9873
60,49625,50000,0.9925
61,49708,50000,0.9942
62,49363,50000,0.9873
63,49631,50000,0.9926
64,49738,50000,0.9948
65,49690,50000,0.9938
66,49195,50000,0.9839
67,49593,50000,0.9919
68,49617,50000,0.9923
69,49032,50000,0.9806
70,49551,50000,0.991
71,49842,50000,0.9968
72,49116,50000,0.9823
73,49627,50000,0.9925
74,49547,50000,0.9909
75,49560,50000,0.9912
76,49709,50000,0.9942
77,49689,50000,0.9938
78,49524,50000,0.9905
79,49616,50000,0.9923
80,49683,50000,0.9937
81,49451,50000,0.989
82,49828,50000,0.9966
83,49219,50000,0.9844
84,49647,50000,0.9929
85,49390,50000,0.9878
86,49609,50000,0.9922
87,49754,50000,0.9951
88,49482,50000,0.9896
89,49626,50000,0.9925
90,49356,50000,0.9871
91,49601,50000,0.992
92,49880,50000,0.9976
93,49610,50000,0.9922
94,49732,50000,0.9946
95,49738,50000,0.9948
96,49592,50000,0.9918
97,49674,50000,0.9935
98,49771,50000,0.9954
99,49824,50000,0.9965
