Epoch,Correct,Total,Accuracy
10,19982,31918,0.626
11,20991,31918,0.6577
12,22255,31918,0.6973
13,22155,31918,0.6941
14,23490,31918,0.7359
15,23471,31918,0.7354
16,23758,31918,0.7443
17,23487,31918,0.7359
18,23338,31918,0.7312
19,23694,31918,0.7423
20,23735,31918,0.7436
21,24476,31918,0.7668
22,24655,31918,0.7724
23,24221,31918,0.7589
24,24792,31918,0.7767
25,24294,31918,0.7611
26,24446,31918,0.7659
27,24836,31918,0.7781
28,24500,31918,0.7676
29,25264,31918,0.7915
30,25027,31918,0.7841
31,25487,31918,0.7985
32,23028,31918,0.7215
33,24114,31918,0.7555
34,25008,31918,0.7835
35,25502,31918,0.799
36,25838,31918,0.8095
37,25833,31918,0.8094
38,26039,31918,0.8158
39,25078,31918,0.7857
40,25073,31918,0.7855
41,25839,31918,0.8095
42,15857,31918,0.4968
43,23143,31918,0.7251
44,25175,31918,0.7887
45,24205,31918,0.7583
46,25246,31918,0.791
47,26091,31918,0.8174
48,26365,31918,0.826
49,24206,31918,0.7584
50,25803,31918,0.8084
51,26090,31918,0.8174
52,25452,31918,0.7974
53,23839,31918,0.7469
54,22755,31918,0.7129
55,25200,31918,0.7895
56,25706,31918,0.8054
57,26328,31918,0.8249
58,25063,31918,0.7852
59,26090,31918,0.8174
60,25681,31918,0.8046
61,25304,31918,0.7928
62,26349,31918,0.8255
63,26378,31918,0.8264
64,26351,31918,0.8256
65,26271,31918,0.8231
66,25944,31918,0.8128
67,24445,31918,0.7659
68,24979,31918,0.7826
69,26047,31918,0.8161
70,25905,31918,0.8116
71,25705,31918,0.8053
72,26592,31918,0.8331
73,26659,31918,0.8352
74,25724,31918,0.8059
75,24544,31918,0.769
76,22086,31918,0.692
77,20069,31918,0.6288
78,22842,31918,0.7156
79,25670,31918,0.8042
80,23728,31918,0.7434
81,24196,31918,0.7581
82,25578,31918,0.8014
83,24425,31918,0.7652
84,24294,31918,0.7611
85,26207,31918,0.8211
86,25576,31918,0.8013
87,26343,31918,0.8253
88,25862,31918,0.8103
89,26190,31918,0.8205
90,22992,31918,0.7203
91,26158,31918,0.8195
92,25525,31918,0.7997
93,24621,31918,0.7714
94,25283,31918,0.7921
95,23007,31918,0.7208
96,25048,31918,0.7848
97,20142,31918,0.6311
98,25844,31918,0.8097
99,20852,31918,0.6533
