epoch,Train_accuracy,Train_accuracy_org,Test_accuracy
11,15.207999999999998,25.592,25.21
12,15.766,34.716,34.8
13,16.664,37.03,36.75
14,17.299999999999997,41.134,40.82
15,17.904,39.0,38.68
16,18.587999999999997,38.226,38.31
17,19.201999999999998,39.65,39.37
18,20.324,37.578,36.39
19,21.018,35.888,35.04
20,22.148,36.576,35.99
21,23.318,33.19,32.71
22,24.686,34.114,32.62
23,26.134,33.476,32.12
24,27.328000000000003,30.174,28.74
25,28.560000000000002,29.822,29.060000000000002
26,30.122,28.942,27.750000000000004
27,31.194,28.088,26.33
28,31.85,26.844,25.55
29,33.391999999999996,26.506,24.43
30,34.632000000000005,25.894000000000002,23.77
31,35.636,25.432,23.419999999999998
32,36.484,24.748,22.1
33,37.55,24.37,22.41
34,38.129999999999995,25.125999999999998,23.380000000000003
35,39.147999999999996,23.604,21.02
36,38.944,24.38,22.31
37,40.204,24.77,22.09
38,40.216,23.162,21.04
39,40.333999999999996,23.454,21.61
40,41.066,23.544,21.59
41,41.632000000000005,24.088,21.91
42,42.304,24.756,22.29
43,42.142,23.84,21.01
44,42.576,23.882,21.3
45,42.568,23.146,20.36
46,43.396,22.561999999999998,19.869999999999997
47,43.412,23.456,21.33
48,42.8,23.07,20.549999999999997
49,43.364000000000004,22.718,20.14
50,43.684,22.198,19.56
51,43.598,22.650000000000002,19.509999999999998
52,43.754,22.046,19.61
53,43.196,23.628,21.14
54,43.822,24.276,21.7
55,43.772,23.626,21.11
56,44.49,23.658,21.01
57,45.462,22.526,19.62
58,45.178000000000004,22.228,19.5
59,46.026,22.89,20.4
60,45.458,22.392,20.150000000000002
61,44.5,24.304000000000002,21.59
62,45.525999999999996,22.830000000000002,19.63
63,44.34,22.604,19.439999999999998
64,44.054,24.144,21.58
65,45.62,22.658,19.8
66,45.275999999999996,23.574,20.96
67,45.622,22.964000000000002,20.57
68,46.542,22.28,19.580000000000002
69,47.048,22.352,19.470000000000002
70,47.036,22.526,20.05
71,46.232,23.782,20.66
72,46.682,23.432,20.94
73,46.611999999999995,23.206,20.03
74,48.06,23.554,19.78
75,47.593999999999994,22.048000000000002,18.77
76,47.606,23.53,20.04
77,47.606,23.086000000000002,20.97
78,48.205999999999996,22.438,19.32
79,47.262,21.818,19.99
80,44.67,22.044,18.61
81,45.052,22.322,19.27
82,47.044000000000004,22.52,19.48
83,47.64,22.354,19.88
84,46.188,22.794,19.97
85,44.578,20.006,17.32
86,45.574,20.836,17.76
87,47.426,21.046,17.849999999999998
88,47.99,22.442,19.45
89,47.782000000000004,22.472,19.53
90,47.943999999999996,20.53,17.71
91,47.354,20.662,18.240000000000002
92,48.29,21.282,17.82
93,48.178,22.811999999999998,19.09
94,48.508,22.012,19.139999999999997
95,49.222,22.201999999999998,18.83
96,48.193999999999996,21.8,18.8
97,48.844,21.962,19.32
98,49.086,20.774,18.16
99,49.308,21.59,18.790000000000003
100,49.354,22.694,19.439999999999998
