Epoch,Correct,Total,Accuracy
10,153,10722,0.0143
11,157,10722,0.0146
12,154,10722,0.0144
13,155,10722,0.0145
14,157,10722,0.0146
15,159,10722,0.0148
16,161,10722,0.015
17,165,10722,0.0154
18,157,10722,0.0146
19,156,10722,0.0145
20,160,10722,0.0149
21,163,10722,0.0152
22,169,10722,0.0158
23,175,10722,0.0163
24,192,10722,0.0179
25,203,10722,0.0189
26,215,10722,0.0201
27,227,10722,0.0212
28,235,10722,0.0219
29,248,10722,0.0231
30,259,10722,0.0242
31,285,10722,0.0266
32,300,10722,0.028
33,324,10722,0.0302
34,352,10722,0.0328
35,398,10722,0.0371
36,431,10722,0.0402
37,470,10722,0.0438
38,509,10722,0.0475
39,545,10722,0.0508
40,595,10722,0.0555
41,621,10722,0.0579
42,638,10722,0.0595
43,690,10722,0.0644
44,739,10722,0.0689
45,815,10722,0.076
46,877,10722,0.0818
47,855,10722,0.0797
48,878,10722,0.0819
49,867,10722,0.0809
50,883,10722,0.0824
51,890,10722,0.083
52,900,10722,0.0839
53,962,10722,0.0897
54,984,10722,0.0918
55,1039,10722,0.0969
56,1046,10722,0.0976
57,1059,10722,0.0988
58,1172,10722,0.1093
59,1292,10722,0.1205
60,1419,10722,0.1323
61,1544,10722,0.144
62,1637,10722,0.1527
63,1673,10722,0.156
64,1793,10722,0.1672
65,1804,10722,0.1683
66,1822,10722,0.1699
67,1833,10722,0.171
68,1772,10722,0.1653
69,1671,10722,0.1558
70,1722,10722,0.1606
71,1808,10722,0.1686
72,1860,10722,0.1735
73,1793,10722,0.1672
74,1902,10722,0.1774
75,1915,10722,0.1786
76,1908,10722,0.178
77,1929,10722,0.1799
78,1927,10722,0.1797
79,1825,10722,0.1702
80,1925,10722,0.1795
81,1910,10722,0.1781
82,2020,10722,0.1884
83,1986,10722,0.1852
84,2107,10722,0.1965
85,2055,10722,0.1917
86,2160,10722,0.2015
87,2256,10722,0.2104
88,2293,10722,0.2139
89,2258,10722,0.2106
90,2341,10722,0.2183
91,2221,10722,0.2071
92,2264,10722,0.2112
93,2214,10722,0.2065
94,2321,10722,0.2165
95,2407,10722,0.2245
96,2450,10722,0.2285
97,2403,10722,0.2241
98,2411,10722,0.2249
99,2426,10722,0.2263
