Epoch,Correct,Total,Accuracy
10,14063,16797,0.8372
11,14123,16797,0.8408
12,14094,16797,0.8391
13,14087,16797,0.8387
14,14043,16797,0.836
15,13916,16797,0.8285
16,13990,16797,0.8329
17,14039,16797,0.8358
18,14103,16797,0.8396
19,13979,16797,0.8322
20,13976,16797,0.8321
21,13927,16797,0.8291
22,13608,16797,0.8101
23,13239,16797,0.7882
24,12916,16797,0.7689
25,12808,16797,0.7625
26,12846,16797,0.7648
27,12428,16797,0.7399
28,12072,16797,0.7187
29,12153,16797,0.7235
30,12059,16797,0.7179
31,12184,16797,0.7254
32,12122,16797,0.7217
33,12144,16797,0.723
34,11634,16797,0.6926
35,11221,16797,0.668
36,10947,16797,0.6517
37,10760,16797,0.6406
38,10572,16797,0.6294
39,10510,16797,0.6257
40,10287,16797,0.6124
41,10118,16797,0.6024
42,9649,16797,0.5744
43,9637,16797,0.5737
44,9086,16797,0.5409
45,9188,16797,0.547
46,9109,16797,0.5423
47,9353,16797,0.5568
48,9323,16797,0.555
49,9507,16797,0.566
50,9424,16797,0.5611
51,9364,16797,0.5575
52,9298,16797,0.5536
53,9392,16797,0.5591
54,9328,16797,0.5553
55,8959,16797,0.5334
56,8709,16797,0.5185
57,8547,16797,0.5088
58,8646,16797,0.5147
59,8445,16797,0.5028
60,8577,16797,0.5106
61,8463,16797,0.5038
62,7854,16797,0.4676
63,7176,16797,0.4272
64,6916,16797,0.4117
65,6715,16797,0.3998
66,6724,16797,0.4003
67,6714,16797,0.3997
68,6994,16797,0.4164
69,7128,16797,0.4244
70,7152,16797,0.4258
71,7093,16797,0.4223
72,7074,16797,0.4211
73,7046,16797,0.4195
74,6997,16797,0.4166
75,7143,16797,0.4253
76,6970,16797,0.415
77,7187,16797,0.4279
78,7090,16797,0.4221
79,6612,16797,0.3936
80,6197,16797,0.3689
81,6009,16797,0.3577
82,5985,16797,0.3563
83,6128,16797,0.3648
84,6290,16797,0.3745
85,6239,16797,0.3714
86,6438,16797,0.3833
87,6487,16797,0.3862
88,6277,16797,0.3737
89,6506,16797,0.3873
90,6363,16797,0.3788
91,6287,16797,0.3743
92,6273,16797,0.3735
93,6283,16797,0.3741
94,6323,16797,0.3764
95,6529,16797,0.3887
96,6479,16797,0.3857
97,6547,16797,0.3898
98,6824,16797,0.4063
99,7048,16797,0.4196
