Epoch,Correct,Total,Accuracy
10,37744,38464,0.9813
11,37833,38464,0.9836
12,37970,38464,0.9872
13,37791,38464,0.9825
14,37991,38464,0.9877
15,37849,38464,0.984
16,38019,38464,0.9884
17,38067,38464,0.9897
18,37976,38464,0.9873
19,37849,38464,0.984
20,37632,38464,0.9784
21,37820,38464,0.9833
22,37670,38464,0.9794
23,37835,38464,0.9836
24,37790,38464,0.9825
25,38041,38464,0.989
26,37811,38464,0.983
27,37810,38464,0.983
28,37638,38464,0.9785
29,37926,38464,0.986
30,37162,38464,0.9662
31,37837,38464,0.9837
32,37710,38464,0.9804
33,37664,38464,0.9792
34,37791,38464,0.9825
35,37522,38464,0.9755
36,36956,38464,0.9608
37,37820,38464,0.9833
38,37626,38464,0.9782
39,37540,38464,0.976
40,37263,38464,0.9688
41,37667,38464,0.9793
42,37679,38464,0.9796
43,37214,38464,0.9675
44,37733,38464,0.981
45,37515,38464,0.9753
46,37651,38464,0.9789
47,37223,38464,0.9677
48,37246,38464,0.9683
49,37629,38464,0.9783
50,37064,38464,0.9636
51,37446,38464,0.9735
52,37623,38464,0.9781
53,37584,38464,0.9771
54,37553,38464,0.9763
55,37789,38464,0.9825
56,37530,38464,0.9757
57,37435,38464,0.9732
58,36922,38464,0.9599
59,37381,38464,0.9718
60,37546,38464,0.9761
61,34884,38464,0.9069
62,37448,38464,0.9736
63,36829,38464,0.9575
64,37681,38464,0.9796
65,37541,38464,0.976
66,37333,38464,0.9706
67,37204,38464,0.9672
68,37204,38464,0.9672
69,37531,38464,0.9757
70,36360,38464,0.9453
71,36894,38464,0.9592
72,37428,38464,0.9731
73,37367,38464,0.9715
74,36599,38464,0.9515
75,37422,38464,0.9729
76,37484,38464,0.9745
77,37367,38464,0.9715
78,37493,38464,0.9748
79,37573,38464,0.9768
80,37281,38464,0.9692
81,36166,38464,0.9403
82,37296,38464,0.9696
83,37357,38464,0.9712
84,36454,38464,0.9477
85,36676,38464,0.9535
86,37213,38464,0.9675
87,36779,38464,0.9562
88,37298,38464,0.9697
89,37049,38464,0.9632
90,37343,38464,0.9709
91,37166,38464,0.9663
92,37281,38464,0.9692
93,36935,38464,0.9602
94,37367,38464,0.9715
95,37127,38464,0.9652
96,36014,38464,0.9363
97,37078,38464,0.964
98,37275,38464,0.9691
99,37486,38464,0.9746
