Epoch,Correct,Total,Accuracy
10,159,32303,0.0049
11,170,32303,0.0053
12,191,32303,0.0059
13,236,32303,0.0073
14,295,32303,0.0091
15,359,32303,0.0111
16,451,32303,0.014
17,522,32303,0.0162
18,623,32303,0.0193
19,739,32303,0.0229
20,880,32303,0.0272
21,966,32303,0.0299
22,1166,32303,0.0361
23,1332,32303,0.0412
24,1450,32303,0.0449
25,1594,32303,0.0493
26,1806,32303,0.0559
27,2027,32303,0.0627
28,2151,32303,0.0666
29,2333,32303,0.0722
30,2500,32303,0.0774
31,2552,32303,0.079
32,2705,32303,0.0837
33,2819,32303,0.0873
34,2857,32303,0.0884
35,2916,32303,0.0903
36,2936,32303,0.0909
37,3024,32303,0.0936
38,3096,32303,0.0958
39,3108,32303,0.0962
40,3293,32303,0.1019
41,3506,32303,0.1085
42,3835,32303,0.1187
43,3949,32303,0.1222
44,4026,32303,0.1246
45,4205,32303,0.1302
46,4347,32303,0.1346
47,4208,32303,0.1303
48,4259,32303,0.1318
49,4497,32303,0.1392
50,4714,32303,0.1459
51,4838,32303,0.1498
52,4981,32303,0.1542
53,4966,32303,0.1537
54,4991,32303,0.1545
55,5147,32303,0.1593
56,5182,32303,0.1604
57,5290,32303,0.1638
58,5441,32303,0.1684
59,5336,32303,0.1652
60,5485,32303,0.1698
61,5589,32303,0.173
62,5674,32303,0.1756
63,5622,32303,0.174
64,5716,32303,0.1769
65,5779,32303,0.1789
66,5947,32303,0.1841
67,5871,32303,0.1817
68,6041,32303,0.187
69,6029,32303,0.1866
70,6152,32303,0.1904
71,6152,32303,0.1904
72,6161,32303,0.1907
73,6090,32303,0.1885
74,6348,32303,0.1965
75,6460,32303,0.2
76,6524,32303,0.202
77,6538,32303,0.2024
78,6575,32303,0.2035
79,6431,32303,0.1991
80,6427,32303,0.199
81,6579,32303,0.2037
82,6523,32303,0.2019
83,6345,32303,0.1964
84,6216,32303,0.1924
85,6223,32303,0.1926
86,6015,32303,0.1862
87,5640,32303,0.1746
88,5652,32303,0.175
89,5461,32303,0.1691
90,5787,32303,0.1791
91,5935,32303,0.1837
92,6015,32303,0.1862
93,6289,32303,0.1947
94,6383,32303,0.1976
95,6522,32303,0.2019
96,6615,32303,0.2048
97,6359,32303,0.1969
98,6510,32303,0.2015
99,6574,32303,0.2035
