Epoch,Correct,Total,Accuracy
10,180,32303,0.0056
11,212,32303,0.0066
12,141,32303,0.0044
13,142,32303,0.0044
14,171,32303,0.0053
15,215,32303,0.0067
16,215,32303,0.0067
17,220,32303,0.0068
18,238,32303,0.0074
19,213,32303,0.0066
20,292,32303,0.009
21,256,32303,0.0079
22,257,32303,0.008
23,517,32303,0.016
24,337,32303,0.0104
25,262,32303,0.0081
26,290,32303,0.009
27,268,32303,0.0083
28,266,32303,0.0082
29,224,32303,0.0069
30,284,32303,0.0088
31,297,32303,0.0092
32,284,32303,0.0088
33,249,32303,0.0077
34,285,32303,0.0088
35,244,32303,0.0076
36,315,32303,0.0098
37,251,32303,0.0078
38,212,32303,0.0066
39,215,32303,0.0067
40,272,32303,0.0084
41,243,32303,0.0075
42,237,32303,0.0073
43,191,32303,0.0059
44,242,32303,0.0075
45,233,32303,0.0072
46,241,32303,0.0075
47,201,32303,0.0062
48,259,32303,0.008
49,223,32303,0.0069
50,222,32303,0.0069
51,210,32303,0.0065
52,216,32303,0.0067
53,196,32303,0.0061
54,248,32303,0.0077
55,205,32303,0.0063
56,203,32303,0.0063
57,206,32303,0.0064
58,228,32303,0.0071
59,230,32303,0.0071
60,192,32303,0.0059
61,186,32303,0.0058
62,209,32303,0.0065
63,207,32303,0.0064
64,208,32303,0.0064
65,212,32303,0.0066
66,216,32303,0.0067
67,184,32303,0.0057
68,235,32303,0.0073
69,230,32303,0.0071
70,183,32303,0.0057
71,179,32303,0.0055
72,202,32303,0.0063
73,216,32303,0.0067
74,182,32303,0.0056
75,183,32303,0.0057
76,187,32303,0.0058
77,183,32303,0.0057
78,228,32303,0.0071
79,202,32303,0.0063
80,193,32303,0.006
81,187,32303,0.0058
82,171,32303,0.0053
83,339,32303,0.0105
84,182,32303,0.0056
85,193,32303,0.006
86,186,32303,0.0058
87,183,32303,0.0057
88,200,32303,0.0062
89,193,32303,0.006
90,178,32303,0.0055
91,259,32303,0.008
92,281,32303,0.0087
93,237,32303,0.0073
94,176,32303,0.0054
95,168,32303,0.0052
96,151,32303,0.0047
97,208,32303,0.0064
98,216,32303,0.0067
99,206,32303,0.0064
