Epoch,Correct,Total,Accuracy
10,27298,27697,0.9856
11,27297,27697,0.9856
12,27291,27697,0.9853
13,27258,27697,0.9841
14,27225,27697,0.983
15,27181,27697,0.9814
16,27100,27697,0.9784
17,26983,27697,0.9742
18,26745,27697,0.9656
19,26482,27697,0.9561
20,26219,27697,0.9466
21,26078,27697,0.9415
22,25702,27697,0.928
23,25571,27697,0.9232
24,25428,27697,0.9181
25,25325,27697,0.9144
26,25084,27697,0.9057
27,24608,27697,0.8885
28,24333,27697,0.8785
29,24029,27697,0.8676
30,23640,27697,0.8535
31,23133,27697,0.8352
32,22639,27697,0.8174
33,22368,27697,0.8076
34,22552,27697,0.8142
35,22420,27697,0.8095
36,22430,27697,0.8098
37,22265,27697,0.8039
38,22177,27697,0.8007
39,22343,27697,0.8067
40,22122,27697,0.7987
41,21758,27697,0.7856
42,21169,27697,0.7643
43,21167,27697,0.7642
44,20946,27697,0.7563
45,20752,27697,0.7493
46,20474,27697,0.7392
47,20597,27697,0.7437
48,20662,27697,0.746
49,20604,27697,0.7439
50,20362,27697,0.7352
51,20194,27697,0.7291
52,20009,27697,0.7224
53,20000,27697,0.7221
54,19726,27697,0.7122
55,19492,27697,0.7038
56,19282,27697,0.6962
57,19068,27697,0.6885
58,19060,27697,0.6882
59,19042,27697,0.6875
60,18930,27697,0.6835
61,19372,27697,0.6994
62,19560,27697,0.7062
63,19032,27697,0.6872
64,18615,27697,0.6721
65,18917,27697,0.683
66,19172,27697,0.6922
67,18752,27697,0.677
68,18603,27697,0.6717
69,18661,27697,0.6738
70,18952,27697,0.6843
71,18833,27697,0.68
72,18870,27697,0.6813
73,19023,27697,0.6868
74,18897,27697,0.6823
75,18590,27697,0.6712
76,18571,27697,0.6705
77,18704,27697,0.6753
78,18917,27697,0.683
79,19026,27697,0.6869
80,19166,27697,0.692
81,19077,27697,0.6888
82,18770,27697,0.6777
83,18692,27697,0.6749
84,18048,27697,0.6516
85,17974,27697,0.649
86,18015,27697,0.6504
87,17559,27697,0.634
88,17245,27697,0.6226
89,17789,27697,0.6423
90,17972,27697,0.6489
91,18241,27697,0.6586
92,18534,27697,0.6692
93,18288,27697,0.6603
94,18506,27697,0.6682
95,18181,27697,0.6564
96,17784,27697,0.6421
97,17871,27697,0.6452
98,17721,27697,0.6398
99,17506,27697,0.6321
