Epoch,Correct,Total,Accuracy
10,30788,50000,0.6158
11,31423,50000,0.6285
12,32015,50000,0.6403
13,32426,50000,0.6485
14,32905,50000,0.6581
15,33370,50000,0.6674
16,33800,50000,0.676
17,34180,50000,0.6836
18,34541,50000,0.6908
19,34973,50000,0.6995
20,35280,50000,0.7056
21,35585,50000,0.7117
22,35928,50000,0.7186
23,36269,50000,0.7254
24,36438,50000,0.7288
25,36514,50000,0.7303
26,37041,50000,0.7408
27,37425,50000,0.7485
28,37378,50000,0.7476
29,37797,50000,0.7559
30,37931,50000,0.7586
31,38099,50000,0.762
32,38042,50000,0.7608
33,38601,50000,0.772
34,39517,50000,0.7903
35,39324,50000,0.7865
36,39393,50000,0.7879
37,39088,50000,0.7818
38,39615,50000,0.7923
39,39292,50000,0.7858
40,39859,50000,0.7972
41,40624,50000,0.8125
42,41494,50000,0.8299
43,42066,50000,0.8413
44,42010,50000,0.8402
45,43152,50000,0.863
46,42951,50000,0.859
47,43835,50000,0.8767
48,43838,50000,0.8768
