epoch,Train_accuracy,Train_accuracy_org,Test_accuracy
11,35.658,48.89,46.550000000000004
12,40.424,50.724000000000004,47.74
13,43.268,52.254,47.39
14,45.466,51.794,46.08
15,47.454,52.176,45.72
16,48.803999999999995,51.498,45.23
17,49.61,52.564,44.49
18,50.192,52.217999999999996,43.6
19,49.588,51.672,42.27
20,49.378,51.42,41.760000000000005
21,48.466,51.92,42.52
22,47.412,50.846000000000004,41.61
23,47.008,48.832,39.660000000000004
24,45.658,49.437999999999995,40.400000000000006
25,44.51,48.652,40.08
26,43.856,47.884,39.550000000000004
27,42.722,47.734,39.33
28,42.27,46.983999999999995,37.82
29,41.874,45.906000000000006,37.51
30,41.054,43.09,35.72
31,40.586,46.802,38.35
32,39.751999999999995,44.07,36.78
33,39.034,40.982,33.87
34,38.57,45.052,37.3
35,38.0,41.308,34.03
36,37.854,43.388,36.3
37,37.644,40.198,32.66
38,37.712,41.04,32.98
39,37.972,42.34,35.54
40,36.658,43.053999999999995,36.09
41,36.418,41.244,34.12
42,36.306,37.674,31.22
43,36.368,36.758,31.019999999999996
44,36.362,43.346000000000004,36.55
45,36.574,41.924,35.22
46,36.354,40.508,33.32
47,37.3,40.846,34.06
48,36.856,40.717999999999996,33.62
49,36.422,40.428,33.72
50,36.14,42.186,35.099999999999994
51,36.134,40.98,34.14
52,35.168,39.132,31.59
53,35.364000000000004,37.674,31.259999999999998
54,36.488,39.216,31.840000000000003
55,36.222,36.104,28.77
56,35.616,38.816,31.94
57,35.052,40.682,33.44
58,36.692,37.89,31.39
59,35.21,37.44,31.259999999999998
60,35.77,34.596,27.589999999999996
61,34.904,37.102000000000004,30.39
62,34.942,39.534000000000006,31.740000000000002
63,35.532000000000004,37.897999999999996,32.04
64,34.772,38.624,31.81
65,34.162,35.827999999999996,28.48
66,33.552,34.75,27.48
67,33.904,37.832,30.509999999999998
68,34.977999999999994,32.662,26.279999999999998
69,33.738,33.522,27.18
70,33.188,37.258,30.880000000000003
71,33.68,30.968,24.67
72,33.418,37.894,31.1
73,32.344,37.51,31.259999999999998
74,32.418,36.431999999999995,30.740000000000002
75,32.84,34.566,27.36
76,33.176,36.068,29.73
77,32.08,36.544,30.06
78,32.507999999999996,32.348,26.8
79,30.346,38.080000000000005,31.71
80,32.054,35.709999999999994,30.2
81,31.34,33.75,28.01
82,31.180000000000003,34.55,29.21
83,28.288000000000004,29.121999999999996,24.29
84,28.71,32.542,27.83
85,30.586000000000002,32.778,27.57
86,29.299999999999997,32.794000000000004,27.860000000000003
87,30.666,33.178000000000004,27.38
88,29.992,34.308,29.099999999999998
89,30.759999999999998,30.212,24.63
90,30.268,32.592,26.99
91,31.35,33.432,27.77
92,31.572,28.33,23.78
93,27.746,28.692,25.380000000000003
94,27.048,31.391999999999996,26.700000000000003
95,26.351999999999997,32.838,28.01
96,27.586,31.372,26.950000000000003
97,28.999999999999996,32.04,27.36
98,28.738000000000003,32.236,26.51
99,27.722,30.012,25.580000000000002
100,27.226,31.344,26.93
