Epoch,Correct,Total,Accuracy
10,262,21536,0.0122
11,181,21536,0.0084
12,190,21536,0.0088
13,246,21536,0.0114
14,236,21536,0.011
15,282,21536,0.0131
16,261,21536,0.0121
17,282,21536,0.0131
18,343,21536,0.0159
19,328,21536,0.0152
20,389,21536,0.0181
21,437,21536,0.0203
22,494,21536,0.0229
23,577,21536,0.0268
24,631,21536,0.0293
25,652,21536,0.0303
26,689,21536,0.032
27,738,21536,0.0343
28,868,21536,0.0403
29,983,21536,0.0456
30,963,21536,0.0447
31,1028,21536,0.0477
32,973,21536,0.0452
33,1049,21536,0.0487
34,981,21536,0.0456
35,1085,21536,0.0504
36,1121,21536,0.0521
37,1044,21536,0.0485
38,1134,21536,0.0527
39,1103,21536,0.0512
40,1022,21536,0.0475
41,1103,21536,0.0512
42,1009,21536,0.0469
43,1159,21536,0.0538
44,1260,21536,0.0585
45,1164,21536,0.054
46,960,21536,0.0446
47,968,21536,0.0449
48,1040,21536,0.0483
49,1260,21536,0.0585
50,1177,21536,0.0547
51,1108,21536,0.0514
52,1137,21536,0.0528
53,1259,21536,0.0585
54,1061,21536,0.0493
55,996,21536,0.0462
56,1200,21536,0.0557
57,1263,21536,0.0586
58,1284,21536,0.0596
59,1034,21536,0.048
60,1131,21536,0.0525
61,1185,21536,0.055
62,1028,21536,0.0477
63,1045,21536,0.0485
64,1010,21536,0.0469
65,1085,21536,0.0504
66,1052,21536,0.0488
67,993,21536,0.0461
68,994,21536,0.0462
69,1071,21536,0.0497
70,1119,21536,0.052
71,976,21536,0.0453
72,995,21536,0.0462
73,904,21536,0.042
74,960,21536,0.0446
75,1175,21536,0.0546
76,946,21536,0.0439
77,1127,21536,0.0523
78,1236,21536,0.0574
79,1013,21536,0.047
80,1030,21536,0.0478
81,804,21536,0.0373
82,1021,21536,0.0474
83,977,21536,0.0454
84,854,21536,0.0397
85,1008,21536,0.0468
86,884,21536,0.041
87,899,21536,0.0417
88,828,21536,0.0384
89,868,21536,0.0403
90,815,21536,0.0378
91,780,21536,0.0362
92,1000,21536,0.0464
93,834,21536,0.0387
94,731,21536,0.0339
95,791,21536,0.0367
96,723,21536,0.0336
97,779,21536,0.0362
98,765,21536,0.0355
99,816,21536,0.0379
