Epoch,Correct,Total,Accuracy
40,3760,27121,0.1386
41,4806,27121,0.1772
42,5718,27121,0.2108
43,6298,27121,0.2322
44,7136,27121,0.2631
45,7912,27121,0.2917
46,8799,27121,0.3244
47,8795,27121,0.3243
48,9088,27121,0.3351
49,9405,27121,0.3468
50,9399,27121,0.3466
51,9613,27121,0.3544
52,10894,27121,0.4017
53,10489,27121,0.3867
54,11881,27121,0.4381
55,11046,27121,0.4073
56,11296,27121,0.4165
57,11438,27121,0.4217
58,12036,27121,0.4438
59,12055,27121,0.4445
60,12862,27121,0.4742
61,12344,27121,0.4551
62,13476,27121,0.4969
63,13451,27121,0.496
64,13594,27121,0.5012
65,14014,27121,0.5167
66,13779,27121,0.5081
67,12772,27121,0.4709
68,14416,27121,0.5315
69,10552,27121,0.3891
70,14557,27121,0.5367
71,14945,27121,0.551
72,15533,27121,0.5727
73,14378,27121,0.5301
74,15741,27121,0.5804
75,14632,27121,0.5395
76,15667,27121,0.5777
77,15758,27121,0.581
78,16089,27121,0.5932
79,16297,27121,0.6009
80,16318,27121,0.6017
81,16437,27121,0.6061
82,15763,27121,0.5812
83,16933,27121,0.6244
84,16551,27121,0.6103
85,12889,27121,0.4752
86,16242,27121,0.5989
87,15346,27121,0.5658
88,16197,27121,0.5972
89,16375,27121,0.6038
90,16437,27121,0.6061
91,16310,27121,0.6014
92,15962,27121,0.5885
93,16910,27121,0.6235
94,16250,27121,0.5992
95,17706,27121,0.6529
96,17186,27121,0.6337
97,16637,27121,0.6134
98,17248,27121,0.636
99,17168,27121,0.633
