Epoch,Correct,Total,Accuracy
40,54494,60000,0.9082
41,54570,60000,0.9095
42,55298,60000,0.9216
43,54434,60000,0.9072
44,55250,60000,0.9208
45,55396,60000,0.9233
46,54921,60000,0.9153
47,54795,60000,0.9133
48,55252,60000,0.9209
49,53857,60000,0.8976
50,55439,60000,0.924
51,55379,60000,0.923
52,55026,60000,0.9171
53,54483,60000,0.9081
54,55034,60000,0.9172
55,54718,60000,0.912
56,54533,60000,0.9089
57,55237,60000,0.9206
58,55079,60000,0.918
59,55605,60000,0.9267
60,55434,60000,0.9239
61,55145,60000,0.9191
62,52894,60000,0.8816
63,55334,60000,0.9222
64,55199,60000,0.92
65,55094,60000,0.9182
66,54046,60000,0.9008
67,55449,60000,0.9242
68,53693,60000,0.8949
69,55313,60000,0.9219
70,53968,60000,0.8995
71,54610,60000,0.9102
72,53777,60000,0.8963
73,54886,60000,0.9148
74,55058,60000,0.9176
75,52913,60000,0.8819
76,54469,60000,0.9078
77,53262,60000,0.8877
78,54014,60000,0.9002
79,52071,60000,0.8679
80,55190,60000,0.9198
81,54107,60000,0.9018
82,54929,60000,0.9155
83,53448,60000,0.8908
84,52670,60000,0.8778
85,53983,60000,0.8997
86,54750,60000,0.9125
87,54470,60000,0.9078
88,43750,60000,0.7292
89,53333,60000,0.8889
90,54709,60000,0.9118
91,52130,60000,0.8688
92,54215,60000,0.9036
93,55010,60000,0.9168
94,50554,60000,0.8426
95,49907,60000,0.8318
96,50248,60000,0.8375
97,52654,60000,0.8776
98,54342,60000,0.9057
99,53445,60000,0.8908
