Epoch,Correct,Total,Accuracy
40,367,21720,0.0169
41,342,21720,0.0157
42,369,21720,0.017
43,386,21720,0.0178
44,397,21720,0.0183
45,422,21720,0.0194
46,413,21720,0.019
47,394,21720,0.0181
48,431,21720,0.0198
49,409,21720,0.0188
50,424,21720,0.0195
51,389,21720,0.0179
52,413,21720,0.019
53,455,21720,0.0209
54,394,21720,0.0181
55,419,21720,0.0193
56,395,21720,0.0182
57,396,21720,0.0182
58,422,21720,0.0194
59,407,21720,0.0187
60,410,21720,0.0189
61,411,21720,0.0189
62,409,21720,0.0188
63,401,21720,0.0185
64,396,21720,0.0182
65,419,21720,0.0193
66,388,21720,0.0179
67,386,21720,0.0178
68,405,21720,0.0186
69,399,21720,0.0184
70,426,21720,0.0196
71,374,21720,0.0172
72,408,21720,0.0188
73,428,21720,0.0197
74,398,21720,0.0183
75,388,21720,0.0179
76,375,21720,0.0173
77,372,21720,0.0171
78,388,21720,0.0179
79,469,21720,0.0216
80,383,21720,0.0176
81,381,21720,0.0175
82,386,21720,0.0178
83,366,21720,0.0169
84,373,21720,0.0172
85,375,21720,0.0173
86,393,21720,0.0181
87,424,21720,0.0195
88,364,21720,0.0168
89,374,21720,0.0172
90,471,21720,0.0217
91,402,21720,0.0185
92,368,21720,0.0169
93,368,21720,0.0169
94,421,21720,0.0194
95,346,21720,0.0159
96,391,21720,0.018
97,380,21720,0.0175
98,404,21720,0.0186
99,400,21720,0.0184
