Epoch,Correct,Total,Accuracy
40,807,9023,0.0894
41,909,9023,0.1007
42,1031,9023,0.1143
43,1117,9023,0.1238
44,1249,9023,0.1384
45,1281,9023,0.142
46,1397,9023,0.1548
47,1532,9023,0.1698
48,1511,9023,0.1675
49,1485,9023,0.1646
50,1482,9023,0.1642
51,1343,9023,0.1488
52,1477,9023,0.1637
53,1320,9023,0.1463
54,1400,9023,0.1552
55,1325,9023,0.1468
56,1300,9023,0.1441
57,1297,9023,0.1437
58,1262,9023,0.1399
59,1189,9023,0.1318
60,1211,9023,0.1342
61,1249,9023,0.1384
62,1200,9023,0.133
63,1232,9023,0.1365
64,1205,9023,0.1335
65,1140,9023,0.1263
66,1221,9023,0.1353
67,1121,9023,0.1242
68,1151,9023,0.1276
69,1152,9023,0.1277
70,1158,9023,0.1283
71,1126,9023,0.1248
72,1122,9023,0.1243
73,1150,9023,0.1275
74,1150,9023,0.1275
75,1103,9023,0.1222
76,1106,9023,0.1226
77,1169,9023,0.1296
78,1120,9023,0.1241
79,1126,9023,0.1248
80,1139,9023,0.1262
81,1092,9023,0.121
82,1093,9023,0.1211
83,1081,9023,0.1198
84,1064,9023,0.1179
85,1097,9023,0.1216
86,1095,9023,0.1214
87,1114,9023,0.1235
88,1074,9023,0.119
89,1094,9023,0.1212
90,1060,9023,0.1175
91,1041,9023,0.1154
92,1057,9023,0.1171
93,1048,9023,0.1161
94,1083,9023,0.12
95,1058,9023,0.1173
96,1017,9023,0.1127
97,985,9023,0.1092
98,1042,9023,0.1155
99,1071,9023,0.1187
