Epoch,Correct,Total,Accuracy
40,10810,22879,0.4725
41,10733,22879,0.4691
42,10903,22879,0.4766
43,10660,22879,0.4659
44,10668,22879,0.4663
45,10140,22879,0.4432
46,10387,22879,0.454
47,9622,22879,0.4206
48,10201,22879,0.4459
49,9944,22879,0.4346
50,9731,22879,0.4253
51,9532,22879,0.4166
52,9172,22879,0.4009
53,9802,22879,0.4284
54,9174,22879,0.401
55,9019,22879,0.3942
56,8671,22879,0.379
57,8902,22879,0.3891
58,8783,22879,0.3839
59,8556,22879,0.374
60,8766,22879,0.3831
61,8120,22879,0.3549
62,8161,22879,0.3567
63,7974,22879,0.3485
64,7887,22879,0.3447
65,7451,22879,0.3257
66,7346,22879,0.3211
67,7348,22879,0.3212
68,6777,22879,0.2962
69,6941,22879,0.3034
70,6671,22879,0.2916
71,6674,22879,0.2917
72,6042,22879,0.2641
73,6327,22879,0.2765
74,6152,22879,0.2689
75,6653,22879,0.2908
76,6081,22879,0.2658
77,5855,22879,0.2559
78,5453,22879,0.2383
79,5587,22879,0.2442
80,4492,22879,0.1963
81,4746,22879,0.2074
82,4259,22879,0.1862
83,4341,22879,0.1897
84,4526,22879,0.1978
85,4273,22879,0.1868
86,4422,22879,0.1933
87,3844,22879,0.168
88,3983,22879,0.1741
89,3818,22879,0.1669
90,3403,22879,0.1487
91,3470,22879,0.1517
92,3128,22879,0.1367
93,3541,22879,0.1548
94,3075,22879,0.1344
95,3161,22879,0.1382
96,3071,22879,0.1342
97,3023,22879,0.1321
98,2825,22879,0.1235
99,2728,22879,0.1192
