Epoch,Correct,Total,Accuracy
40,46136,49222,0.9373
41,46529,49222,0.9453
42,47146,49222,0.9578
43,47150,49222,0.9579
44,47421,49222,0.9634
45,47686,49222,0.9688
46,47355,49222,0.9621
47,47567,49222,0.9664
48,47030,49222,0.9555
49,47191,49222,0.9587
50,46743,49222,0.9496
51,47575,49222,0.9665
52,46938,49222,0.9536
53,46996,49222,0.9548
54,46870,49222,0.9522
55,45485,49222,0.9241
56,46286,49222,0.9404
57,46759,49222,0.95
58,46301,49222,0.9407
59,45441,49222,0.9232
60,45416,49222,0.9227
61,45353,49222,0.9214
62,45397,49222,0.9223
63,45584,49222,0.9261
64,45219,49222,0.9187
65,45968,49222,0.9339
66,45486,49222,0.9241
67,45663,49222,0.9277
68,45934,49222,0.9332
69,45988,49222,0.9343
70,45732,49222,0.9291
71,45889,49222,0.9323
72,45949,49222,0.9335
73,45612,49222,0.9267
74,46023,49222,0.935
75,46152,49222,0.9376
76,45973,49222,0.934
77,46174,49222,0.9381
78,45839,49222,0.9313
79,45142,49222,0.9171
80,45628,49222,0.927
81,45941,49222,0.9333
82,44861,49222,0.9114
83,45566,49222,0.9257
84,45923,49222,0.933
85,45722,49222,0.9289
86,44626,49222,0.9066
87,46298,49222,0.9406
88,45429,49222,0.9229
89,45894,49222,0.9324
90,46500,49222,0.9447
91,46080,49222,0.9362
92,45702,49222,0.9285
93,45609,49222,0.9266
94,46916,49222,0.9532
95,46479,49222,0.9443
96,45877,49222,0.932
97,46067,49222,0.9359
98,44459,49222,0.9032
99,44542,49222,0.9049
